Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MVP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MVP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MVP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,THANONG LEEISSARANUKUL,N/A,8 / 8,100.00,Yes,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,OPAS CHERDPUNT,N/A,8 / 8,100.00,Yes,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,THARATHORN YUANGBHANDITH,N/A,8 / 8,100.00,No,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,TEERAWAT SUWANPINIJ,N/A,8 / 8,100.00,Yes,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,PRAPIMPAN LERTSIRISIN,N/A,8 / 8,100.00,Yes,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,APSORN WILARTSAKDANON,N/A,8 / 8,100.00,Yes,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,ORATHAI WANITDEE,N/A,8 / 8,100.00,Yes,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,KONGPAN PRAMOJ,N/A,8 / 8,100.00,Yes,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,NATTAKRIT THEWPHAINGARM,N/A,8 / 8,100.00,Yes,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Audit Committee,1.,ORATHAI WANITDEE,N/A,4 / 4,100.00,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Audit Committee,2.,KONGPAN PRAMOJ,N/A,4 / 4,100.00,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Audit Committee,3.,NATTAKRIT THEWPHAINGARM,N/A,4 / 4,100.00,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Executive Committee,1.,OPAS CHERDPUNT,N/A,N/A,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Executive Committee,2.,TEERAWAT SUWANPINIJ,N/A,N/A,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Executive Committee,3.,THARATHORN YUANGBHANDITH,N/A,N/A,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Executive Committee,4.,PRAPIMPAN LERTSIRISIN,N/A,N/A,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Executive Committee,5.,APSORN WILARTSAKDANON,N/A,N/A,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Risk Management Committee,1.,ORATHAI WANITDEE,N/A,0 / 0,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Risk Management Committee,2.,OPAS CHERDPUNT,N/A,0 / 0,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Risk Management Committee,3.,APSORN WILARTSAKDANON,N/A,0 / 0,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Nomination and Compensation Committee,1.,THANONG LEEISSARANUKUL,N/A,0 / 0,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Nomination and Compensation Committee,2.,ORATHAI WANITDEE,N/A,0 / 0,N/A,,
MVP,2022,8,4,29/04/2022,Yes,Meeting Attendance of Nomination and Compensation Committee,3.,OPAS CHERDPUNT,N/A,0 / 0,N/A,,
