Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
NCAP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
NCAP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
NCAP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHAIWAT UTAIWAN,N/A,6 / 6,100.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,LADAWAN CHAROEN-RAJAPARK,N/A,3 / 5,60.00,No,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,AMORNYOT PANICH,N/A,6 / 6,100.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,PATIPAN SAE-LIM,N/A,6 / 6,100.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,SURA KHANITTAWEEKUL,N/A,6 / 6,100.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUTIDA MONGKOLSUTHREE,N/A,5 / 6,83.33,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,PRUTTIPANG TAYARACHKUL,N/A,6 / 6,100.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,WASSANA PONGSANGLUK,N/A,6 / 6,100.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,PUNNAMAS VICHITKULWONGSA,N/A,6 / 6,100.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,10.,WIRACH MORAKOTKARN,02/05/2022,1 / 1,100.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of the Board of Directors,11.,PHIRA CHOMPOOSRI,07/10/2022,3 / 4,75.00,Yes,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,LADAWAN CHAROEN-RAJAPARK,N/A,3 / 3,100.00,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,AMORNYOT PANICH,N/A,4 / 4,100.00,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,PATIPAN SAE-LIM,N/A,4 / 4,100.00,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Audit Committee,4.,WIRACH MORAKOTKARN,02/05/2022,1 / 1,100.00,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Executive Committee,1.,PUNNAMAS VICHITKULWONGSA,N/A,N/A,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Executive Committee,2.,Kruakaeo Yerabut,N/A,N/A,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Executive Committee,3.,Amornwan Chantrachaichot,N/A,N/A,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Executive Committee,4.,Wipas Raiyawa,N/A,N/A,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,AMORNYOT PANICH,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SURA KHANITTAWEEKUL,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SUTIDA MONGKOLSUTHREE,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,1.,LADAWAN CHAROEN-RAJAPARK,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,2.,PATIPAN SAE-LIM,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,3.,PRUTTIPANG TAYARACHKUL,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,4.,PUNNAMAS VICHITKULWONGSA,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Kruakaeo Yerabut,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,6.,Wipas Raiyawa,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,7.,Amornwan Chantrachaichot,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,LADAWAN CHAROEN-RAJAPARK,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,AMORNYOT PANICH,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,PATIPAN SAE-LIM,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Executive Committee,1.,PUNNAMAS VICHITKULWONGSA,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Executive Committee,2.,Kruakaeo Yerabut,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Executive Committee,3.,Wipas Raiyawa,N/A,0 / 0,N/A,,
NCAP,2022,6,4,21/04/2022,No,Meeting Attendance of Executive Committee,4.,Amornwan Chantrachaichot,N/A,0 / 0,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHAIWAT UTAIWAN,N/A,4 / 4,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,LADAWAN CHAROEN-RAJAPARK,N/A,4 / 4,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,AMORNYOT PANICH,N/A,4 / 4,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,PATIPAN SAE-LIM,N/A,4 / 4,100.00,No,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,SURA KHANITTAWEEKUL,N/A,4 / 4,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,PRUTTIPANG TAYARACHKUL,N/A,4 / 4,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,WASSANA PONGSANGLUK,N/A,4 / 4,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,8.,SUTIDA MONGKOLSUTHREE,N/A,4 / 4,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,9.,Haruthaikarn Phansuwan,N/A,3 / 3,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,10.,PUNNAMAS VICHITKULWONGSA,28/11/2023,4 / 4,100.00,Yes,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,1.,LADAWAN CHAROEN-RAJAPARK,N/A,4 / 4,100.00,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,2.,AMORNYOT PANICH,N/A,4 / 4,100.00,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,3.,PATIPAN SAE-LIM,N/A,4 / 4,100.00,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,1.,PRUTTIPANG TAYARACHKUL,N/A,N/A,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,2.,Kruakaeo Yerabut,N/A,N/A,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,3.,Wipas Raiyawa,N/A,N/A,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,4.,Ubolwan Piyachinda,N/A,N/A,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,5.,Praphan Rangsiyopas,N/A,N/A,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,6.,PUNNAMAS VICHITKULWONGSA,28/11/2023,N/A,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,7.,Amornwan Chantrachaichot,01/02/2023,N/A,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,1.,LADAWAN CHAROEN-RAJAPARK,N/A,0 / 0,N/A,,
NCAP,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,2.,AMORNYOT PANICH,N/A,0 / 0,N/A,,
