Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
NCL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
NCL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
NCL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,CHIRAKOM KITIYAKARA,N/A,8 / 10,80.00,No,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,KITTI PHUATHAVORNSKUL,N/A,10 / 10,100.00,Yes,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,PONGPUN KONGKUMNERD,N/A,10 / 10,100.00,Yes,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PORNTHIP SAE-LIM,N/A,10 / 10,100.00,Yes,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,CHANYAPAT WIPHATTHANANANTHAKUL,N/A,10 / 10,100.00,Yes,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PONGTHEP VICHAIKUL,N/A,10 / 10,100.00,Yes,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,SURAPONG AMNUCKSORADEJA,N/A,10 / 10,100.00,Yes,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,SOMCHAI KUVIJITSUWAN,N/A,9 / 10,90.00,Yes,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,Ravipa Koekkaivan,N/A,0 / 0,N/A,No,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,PORPOL MANEERIN,20/04/2022,2 / 10,20.00,Yes,
NCL,2022,10,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,CHANNARONG SONTIUSCHARA,30/11/2022,N/A,N/A,N/A,
