Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
NDR,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
NDR,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
NDR,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of the Board of Directors,1.,PONGSAK SAWADWAN,N/A,4 / 4,100.00,Yes,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of the Board of Directors,2.,NITAYA SAMRITTIVANICHA,N/A,4 / 4,100.00,Yes,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of the Board of Directors,3.,THUNYARAT SAMRITTIVANICHA,N/A,4 / 4,100.00,Yes,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of the Board of Directors,4.,SIRADA JARUTAKANONT,N/A,4 / 4,100.00,Yes,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of the Board of Directors,5.,TEERASAK SAWANGNET,N/A,4 / 4,100.00,Yes,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of the Board of Directors,6.,KOVIT KRISTHANIN,N/A,4 / 4,100.00,Yes,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of the Board of Directors,7.,CHAIYASIT SAMRITTIVANICHA,N/A,4 / 4,100.00,Yes,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of the Board of Directors,8.,MARCO LOW PENG KIAT LOW,N/A,4 / 4,100.00,No,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Audit Committee,1.,SIRADA JARUTAKANONT,N/A,4 / 4,100.00,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Audit Committee,2.,TEERASAK SAWANGNET,N/A,4 / 4,100.00,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Audit Committee,3.,KOVIT KRISTHANIN,N/A,4 / 4,100.00,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Executive Committee,1.,CHAIYASIT SAMRITTIVANICHA,N/A,N/A,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Executive Committee,2.,Nopparat Chumpolkulwong,N/A,N/A,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Executive Committee,3.,Malinee Charoenchaisin,N/A,N/A,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Executive Committee,4.,Boonlai Jamparat,N/A,N/A,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Executive Committee,5.,Domrongkreat Pasroy,N/A,N/A,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Executive Committee,6.,Thitikarn Chaichonchanok,N/A,N/A,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Executive Committee,7.,Vinay Kajaisai,N/A,N/A,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Executive Committee,8.,Pimwan Poolphon,N/A,N/A,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Audit Committee,1.,SIRADA JARUTAKANONT,N/A,0 / 0,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Audit Committee,2.,TEERASAK SAWANGNET,N/A,0 / 0,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Audit Committee,3.,KOVIT KRISTHANIN,N/A,0 / 0,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SIRADA JARUTAKANONT,N/A,0 / 0,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,TEERASAK SAWANGNET,N/A,0 / 0,N/A,,
NDR,2022,4,4,29/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHAIYASIT SAMRITTIVANICHA,N/A,0 / 0,N/A,,
NDR,2023,4,4,31/03/2023,No,Meeting Attendance of the Board of Directors,1.,PONGSAK SAWADWAN,N/A,4 / 4,100.00,Yes,
NDR,2023,4,4,31/03/2023,No,Meeting Attendance of the Board of Directors,2.,NITAYA SAMRITTIVANICHA,N/A,1 / 4,25.00,Yes,
NDR,2023,4,4,31/03/2023,No,Meeting Attendance of the Board of Directors,3.,THUNYARAT SAMRITTIVANICHA,N/A,3 / 4,75.00,Yes,
NDR,2023,4,4,31/03/2023,No,Meeting Attendance of the Board of Directors,4.,KOVIT KRISTHANIN,N/A,4 / 4,100.00,Yes,
NDR,2023,4,4,31/03/2023,No,Meeting Attendance of the Board of Directors,5.,TEERASAK SAWANGNET,N/A,4 / 4,100.00,Yes,
NDR,2023,4,4,31/03/2023,No,Meeting Attendance of the Board of Directors,6.,SIRADA JARUTAKANONT,N/A,4 / 4,100.00,Yes,
