Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
NEP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
NEP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
NEP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI VANICHSENEE,N/A,12 / 12,100.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHANTIRA SRIMOUNGPAN,N/A,12 / 12,100.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,NIPHA LAMCHIEKDES,N/A,12 / 12,100.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHIRAPHAT MALAI,N/A,12 / 12,100.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,ORAYAPORN KARNCHANACHARI,N/A,3 / 12,25.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,PAIROJ SANYADECHAKUL,N/A,12 / 12,100.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUTHIPORN CHANDAWANICH,N/A,11 / 12,91.67,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOONTORN POJTHANAMAS,N/A,12 / 12,100.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,WAROTAI KOSOLPISITKUL,N/A,6 / 8,75.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,10.,WORAPAN  WORASAKYOTHIN,N/A,5 / 5,100.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,11.,VEE WORASAKYOTIN,N/A,5 / 5,100.00,Yes,
NEP,2022,12,8,21/04/2022,No,Meeting Attendance of the Board of Directors,12.,WEERACHART LOHSIRI,01/08/2022,7 / 7,100.00,Yes,
