Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
NETBAY,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
NETBAY,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
NETBAY,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,PAIRASH THAJCHAYAPONG,N/A,5 / 5,100.00,Yes,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,PICHIT VIWATRUJIRAPONG,N/A,5 / 5,100.00,Yes,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,SUVIT ARUNANONDCHAI,N/A,5 / 5,100.00,Yes,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,VICHIT YANAMORN,N/A,5 / 5,100.00,Yes,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,KOBKANJANA VEERAPONGPRADIT,N/A,5 / 5,100.00,Yes,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUWIPA WANASATHOP,N/A,5 / 5,100.00,Yes,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,SOMSRI RUCHDAPONKUL,N/A,3 / 5,60.00,Yes,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of Audit Committee,1.,SUVIT ARUNANONDCHAI,N/A,5 / 5,100.00,,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of Audit Committee,2.,VICHIT YANAMORN,N/A,5 / 5,100.00,,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of Audit Committee,3.,SUWIPA WANASATHOP,N/A,5 / 5,100.00,,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of Executive Committee,1.,PICHIT VIWATRUJIRAPONG,N/A,N/A,N/A,,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of Executive Committee,2.,KOBKANJANA VEERAPONGPRADIT,N/A,N/A,N/A,,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SUWIPA WANASATHOP,N/A,0 / 0,N/A,,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,VICHIT YANAMORN,N/A,0 / 0,N/A,,
NETBAY,2022,5,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,KOBKANJANA VEERAPONGPRADIT,N/A,0 / 0,N/A,,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,PAIRASH THAJCHAYAPONG,N/A,4 / 4,100.00,Yes,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,PICHIT VIWATRUJIRAPONG,N/A,4 / 4,100.00,Yes,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,SUVIT ARUNANONDCHAI,N/A,4 / 4,100.00,Yes,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,VICHIT YANAMORN,N/A,4 / 4,100.00,Yes,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,KOBKANJANA VEERAPONGPRADIT,N/A,4 / 4,100.00,Yes,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,SUWIPA WANASATHOP,N/A,4 / 4,100.00,Yes,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,SOMSRI RUCHDAPONKUL,N/A,4 / 4,100.00,Yes,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,1.,SUVIT ARUNANONDCHAI,N/A,4 / 4,100.00,,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,2.,SUWIPA WANASATHOP,N/A,4 / 4,100.00,,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,3.,SOMSRI RUCHDAPONKUL,N/A,1 / 4,25.00,,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,4.,VICHIT YANAMORN,09/08/2023,2 / 4,50.00,,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,1.,PICHIT VIWATRUJIRAPONG,N/A,N/A,N/A,,
NETBAY,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,2.,KOBKANJANA VEERAPONGPRADIT,N/A,N/A,N/A,,
