Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
NOBLE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
NOBLE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
NOBLE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,PUNNEE CHAIYAKUL,N/A,9 / 9,100.00,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,THONGCHAI BUSRAPAN,N/A,9 / 9,100.00,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,FRANK FUNG KUEN LEUNG,N/A,9 / 9,100.00,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,SHUO TING WU,N/A,8 / 9,88.89,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,NATCHANONT KOMUTPUTIPONG,N/A,9 / 9,100.00,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,WILLIAM WAYNE LAU,N/A,7 / 9,77.78,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,TORBOON PUANGMAHA,N/A,7 / 9,77.78,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,VORAPHOT CHANYAKOMOL,N/A,9 / 9,100.00,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,ARTTAVIT CHALERMSAPHAYAKORN,N/A,9 / 9,100.00,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,SIRA UDOL,N/A,8 / 9,88.89,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,THEERAPHON VORANITHIPHONG,23/02/2022,0 / 0,N/A,Yes,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Audit Committee,1.,NATCHANONT KOMUTPUTIPONG,N/A,8 / 8,100.00,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Audit Committee,2.,PUNNEE CHAIYAKUL,N/A,8 / 8,100.00,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Audit Committee,3.,TORBOON PUANGMAHA,N/A,8 / 8,100.00,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Audit Committee,4.,VORAPHOT CHANYAKOMOL,N/A,8 / 8,100.00,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Executive Committee,1.,THONGCHAI BUSRAPAN,N/A,N/A,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Executive Committee,2.,FRANK FUNG KUEN LEUNG,N/A,N/A,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Executive Committee,3.,ARTTAVIT CHALERMSAPHAYAKORN,N/A,N/A,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Executive Committee,4.,THEERAPHON VORANITHIPHONG,N/A,N/A,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Executive Committee,5.,SIRA UDOL,N/A,N/A,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Executive Committee,6.,Arat Sawatatat,N/A,N/A,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of Executive Committee,7.,Orranuch  Ittikosin,N/A,N/A,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,PUNNEE CHAIYAKUL,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,TORBOON PUANGMAHA,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,NATCHANONT KOMUTPUTIPONG,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,4.,VORAPHOT CHANYAKOMOL,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Risk Management Committee,1.,TORBOON PUANGMAHA,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Risk Management Committee,2.,PUNNEE CHAIYAKUL,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Risk Management Committee,3.,SIRA UDOL,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Corporate Governance Committee,1.,NATCHANONT KOMUTPUTIPONG,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Corporate Governance Committee,2.,TORBOON PUANGMAHA,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Corporate Governance Committee,3.,VORAPHOT CHANYAKOMOL,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Sustainable Development Committee,1.,SIRA UDOL,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Sustainable Development Committee,2.,ARTTAVIT CHALERMSAPHAYAKORN,N/A,0 / 0,N/A,,
NOBLE,2022,9,8,28/04/2022,No,Meeting Attendance of The Sustainable Development Committee,3.,PACHARAWAN SETTHIKUL,N/A,0 / 0,N/A,,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,PUNNEE CHAIYAKUL,N/A,10 / 10,100.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,FRANK FUNG KUEN LEUNG,N/A,10 / 10,100.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,THONGCHAI BUSRAPAN,N/A,10 / 10,100.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,NATCHANONT KOMUTPUTIPONG,N/A,10 / 10,100.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,SHUO TING WU,N/A,9 / 10,90.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,TORBOON PUANGMAHA,N/A,10 / 10,100.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,WILLIAM WAYNE LAU,N/A,8 / 10,80.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,ARTTAVIT CHALERMSAPHAYAKORN,N/A,10 / 10,100.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,9.,VORAPHOT CHANYAKOMOL,N/A,10 / 10,100.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of the Board of Directors,10.,SIRA UDOL,N/A,8 / 10,80.00,Yes,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of Audit Committee,1.,NATCHANONT KOMUTPUTIPONG,N/A,11 / 11,100.00,,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of Audit Committee,2.,TORBOON PUANGMAHA,N/A,11 / 11,100.00,,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of Audit Committee,3.,PUNNEE CHAIYAKUL,N/A,11 / 11,100.00,,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of Audit Committee,4.,VORAPHOT CHANYAKOMOL,N/A,11 / 11,100.00,,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of Executive Committee,1.,THONGCHAI BUSRAPAN,N/A,N/A,N/A,,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of Executive Committee,2.,FRANK FUNG KUEN LEUNG,N/A,N/A,N/A,,
NOBLE,2023,10,11,27/04/2023,No,Meeting Attendance of Executive Committee,3.,ARTTAVIT CHALERMSAPHAYAKORN,N/A,N/A,N/A,,
