Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ORN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ORN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ORN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ORN,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ORN,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ORN,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of the Board of Directors,1.,PONGPANU SVETARUNDRA,N/A,7 / 7,100.00,Yes,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of the Board of Directors,2.,AREE UDOMSIRITHAMRONG,N/A,7 / 7,100.00,Yes,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of the Board of Directors,3.,PREDIKORN BURANUPAKORN,N/A,7 / 7,100.00,Yes,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of the Board of Directors,4.,NIPOL TANGJEERAWONG,N/A,7 / 7,100.00,No,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of the Board of Directors,5.,WILAI BURRANUPAKORN,N/A,7 / 7,100.00,Yes,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of the Board of Directors,6.,SOMSAK PRATOMSRIMEK,N/A,7 / 7,100.00,Yes,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Audit Committee,1.,SOMSAK PRATOMSRIMEK,N/A,5 / 5,100.00,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Audit Committee,2.,NIPOL TANGJEERAWONG,N/A,5 / 5,100.00,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Audit Committee,3.,PONGPANU SVETARUNDRA,N/A,5 / 5,100.00,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Executive Committee,1.,Boonlert buranupakorn,N/A,N/A,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Executive Committee,2.,WILAI BURRANUPAKORN,N/A,N/A,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Executive Committee,3.,AREE UDOMSIRITHAMRONG,N/A,N/A,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Executive Committee,4.,akkadet udomsirithamrong,N/A,N/A,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Executive Committee,5.,PREDIKORN BURANUPAKORN,N/A,N/A,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Executive Committee,6.,kanyanutt Sakulyuenyongsuk,N/A,N/A,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Executive Committee,7.,jumlong Wongsiriamnuey,N/A,N/A,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Risk Management Committee,1.,NIPOL TANGJEERAWONG,N/A,0 / 0,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Risk Management Committee,2.,kanyanutt Sakulyuenyongsuk,N/A,0 / 0,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Risk Management Committee,3.,AREE UDOMSIRITHAMRONG,N/A,0 / 0,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,NIPOL TANGJEERAWONG,N/A,0 / 0,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,kanyanutt Sakulyuenyongsuk,N/A,0 / 0,N/A,,
ORN,2023,7,5,14/03/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,AREE UDOMSIRITHAMRONG,N/A,0 / 0,N/A,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of the Board of Directors,1.,PONGPANU SVETARUNDRA,N/A,5 / 5,100.00,1 / 1,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of the Board of Directors,2.,AREE UDOMSIRITHAMRONG,N/A,5 / 5,100.00,1 / 1,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of the Board of Directors,3.,PREDIKORN BURANUPAKORN,N/A,5 / 5,100.00,1 / 1,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of the Board of Directors,4.,WILAI BURRANUPAKORN,N/A,5 / 5,100.00,0 / 1,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of the Board of Directors,5.,SOMSAK PRATOMSRIMEK,N/A,5 / 5,100.00,1 / 1,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of the Board of Directors,6.,VICHIEN CHAVALIT,N/A,2 / 2,100.00,0 / 0,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of the Board of Directors,7.,NIPOL TANGJEERAWONG,09/05/2024,2 / 2,100.00,1 / 1,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Audit Committee,1.,SOMSAK PRATOMSRIMEK,N/A,5 / 5,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Audit Committee,2.,PONGPANU SVETARUNDRA,N/A,5 / 5,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Audit Committee,3.,VICHIEN CHAVALIT,N/A,2 / 2,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Audit Committee,4.,NIPOL TANGJEERAWONG,09/05/2024,2 / 2,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Executive Committee,1.,Boonlert buranupakorn,N/A,12 / 12,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Executive Committee,2.,WILAI BURRANUPAKORN,N/A,12 / 12,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Executive Committee,3.,AREE UDOMSIRITHAMRONG,N/A,12 / 12,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Executive Committee,4.,akkadet udomsirithamrong,N/A,12 / 12,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Executive Committee,5.,PREDIKORN BURANUPAKORN,N/A,12 / 12,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Executive Committee,6.,Parawich Charoonrojnaayudthya,N/A,5 / 5,100.00,,
ORN,2024,5,5,25/04/2014,No,Meeting Attendance of Executive Committee,7.,kanyanutt Sakulyuenyongsuk,29/06/2024,5 / 5,100.00,,
