Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
OR,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
OR,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
OR,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,1.,AUTTAPOL RERKPIBOON,N/A,17 / 17,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,2.,POOMSAK ARANYAKASEMSUK,N/A,17 / 17,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHAICHANA MITRPANT,N/A,17 / 17,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,4.,DUANG-KAMOL CHARTPRASERT,N/A,17 / 17,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,5.,DUJDUAN HETRAKUL,N/A,17 / 17,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUPAT METHEEWORAPOTE,N/A,17 / 17,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,7.,RAWIT HANUTSAHA,N/A,17 / 17,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,8.,BURANIN RATTANASOMBAT,N/A,17 / 17,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,9.,CHINTAPUN DANSUBUTRA,N/A,16 / 16,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,10.,KOBSAK POOTRAKOOL,N/A,14 / 14,100.00,No,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,11.,TAWATCHAI CHEEVANON,N/A,0 / 0,N/A,No,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,12.,TERDKIAT PROMMOOL,N/A,0 / 0,N/A,No,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,13.,KOMOL BUAKET,N/A,0 / 0,N/A,No,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,14.,Bundhit Eua-Arporn,N/A,0 / 0,N/A,No,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,15.,JIRAPHON KAWSWAT,30/09/2022,13 / 13,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,16.,PIPOP UDORN,07/04/2022,3 / 3,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,17.,KRIS IMSANG,30/09/2022,12 / 13,92.31,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,18.,TWARATH SUTABUTR,01/11/2022,14 / 14,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,19.,YANYONG DETPIRATMONGKOL,31/05/2022,5 / 5,100.00,Yes,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of the Board of Directors,20.,DISATHAT PANYARACHUN,18/10/2022,N/A,N/A,N/A,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Audit Committee,1.,KOBSAK POOTRAKOOL,N/A,9 / 9,100.00,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Audit Committee,2.,CHAICHANA MITRPANT,N/A,12 / 12,100.00,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Audit Committee,3.,SUPAT METHEEWORAPOTE,N/A,0 / 0,N/A,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Audit Committee,4.,CHINTAPUN DANSUBUTRA,N/A,0 / 0,N/A,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Audit Committee,5.,Bundhit Eua-Arporn,N/A,0 / 0,N/A,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Audit Committee,6.,PIPOP UDORN,07/04/2022,N/A,N/A,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Audit Committee,7.,RAWIT HANUTSAHA,21/12/2022,N/A,N/A,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Audit Committee,8.,YANYONG DETPIRATMONGKOL,31/05/2022,N/A,N/A,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
OR,2022,17,12,07/04/2022,No,Meeting Attendance of Enterprise Risk Management Committee,1.,CHAICHANA MITRPANT,N/A,0 / 0,N/A,,
