Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PACO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PACO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PACO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,PRUCHYA PIUMSOMBOON,N/A,4 / 4,100.00,Yes,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,KALYAPORN PAN-MA-RERNG,N/A,4 / 4,100.00,Yes,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,KANAWATH ARAN,N/A,4 / 4,100.00,Yes,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,CHONLATHIS EIAMWORAWUTTHIKUL,N/A,4 / 4,100.00,Yes,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,SOMCHAI LERTKAJORNKITTI,N/A,4 / 4,100.00,Yes,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,SOMSAK LERTKAJORNKITTI,N/A,4 / 4,100.00,Yes,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,Maleewan Lertkajohnkitti,N/A,4 / 4,100.00,Yes,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Audit Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,4 / 4,100.00,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Audit Committee,2.,CHONLATHIS EIAMWORAWUTTHIKUL,N/A,4 / 4,100.00,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Audit Committee,3.,KANAWATH ARAN,N/A,4 / 4,100.00,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Executive Committee,1.,Somchai Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Executive Committee,2.,Somsak Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Executive Committee,3.,Maleewan Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Executive Committee,4.,Tanest Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Executive Committee,5.,Peachanok Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Executive Committee,6.,Kittisak Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Executive Committee,7.,Jaruwan Thongman,N/A,N/A,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Executive Committee,8.,Anucha Saelim,N/A,N/A,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Audit Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Audit Committee,2.,KANAWATH ARAN,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Audit Committee,3.,CHONLATHIS EIAMWORAWUTTHIKUL,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,2.,KANAWATH ARAN,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,3.,CHONLATHIS EIAMWORAWUTTHIKUL,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,4.,Somsak Lertkajohnkitti,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,5.,SOMCHAI LERTKAJORNKITTI,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,6.,Tanest Lertkajohnkitti,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,KANAWATH ARAN,N/A,0 / 0,N/A,,
PACO,2022,4,4,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,Somchai Lertkajohnkitti,N/A,0 / 0,N/A,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRUCHYA PIUMSOMBOON,N/A,4 / 4,100.00,Yes,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of the Board of Directors,2.,SOMCHAI LERTKAJORNKITTI,N/A,4 / 4,100.00,Yes,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of the Board of Directors,3.,SOMSAK LERTKAJORNKITTI,N/A,4 / 4,100.00,Yes,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of the Board of Directors,4.,KALYAPORN PAN-MA-RERNG,N/A,4 / 4,100.00,Yes,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of the Board of Directors,5.,KANAWATH ARAN,N/A,4 / 4,100.00,Yes,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHONLATHIS EIAMWORAWUTTHIKUL,N/A,4 / 4,100.00,Yes,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of the Board of Directors,7.,MALEEWAN LERTKAJORNKITTI,N/A,4 / 4,100.00,No,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Audit Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,4 / 4,100.00,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Audit Committee,2.,KANAWATH ARAN,N/A,4 / 4,100.00,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Audit Committee,3.,CHONLATHIS EIAMWORAWUTTHIKUL,N/A,4 / 4,100.00,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Executive Committee,1.,Somchai Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Executive Committee,2.,Somsak Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Executive Committee,3.,MALEEWAN LERTKAJORNKITTI,N/A,N/A,N/A,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Executive Committee,4.,Tanest Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Executive Committee,5.,Peachanok Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Executive Committee,6.,Kittisak Lertkajohnkitti,N/A,N/A,N/A,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Executive Committee,7.,Jaruwan Thongman,N/A,N/A,N/A,,
PACO,2023,4,4,04/04/2023,No,Meeting Attendance of Executive Committee,8.,Anucha Saelim,N/A,N/A,N/A,,
