Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PCSGH,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PCSGH,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PCSGH,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHAKRAMON PHASUKAVANICH,N/A,6 / 6,100.00,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,SIRIPHONG RUNGROTKITIYOT,N/A,5 / 6,83.33,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,WANNA ROUMANACHAI,N/A,6 / 6,100.00,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,ANGKRIT RUNGROTKITIYOT,N/A,6 / 6,100.00,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,KOONCHORN ROUMANACHAI,N/A,6 / 6,100.00,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,PHON-EK RUNGROTKITIYOT,N/A,5 / 6,83.33,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,PAKHAWAT KOVITHVATHANAPHONG,N/A,6 / 6,100.00,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,JUKR BOON-LONG,N/A,6 / 6,100.00,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,RACHAI WATTANAKASAEM,N/A,5 / 6,83.33,Yes,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of Audit Committee,1.,PAKHAWAT KOVITHVATHANAPHONG,N/A,4 / 4,100.00,,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of Audit Committee,2.,JUKR BOON-LONG,N/A,4 / 4,100.00,,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of Audit Committee,3.,RACHAI WATTANAKASAEM,N/A,4 / 4,100.00,,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PCSGH,2022,6,4,08/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,JUKR BOON-LONG,N/A,0 / 0,N/A,,
