Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PDG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PDG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PDG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRAYOON BOONPRASURD,N/A,7 / 7,100.00,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,Purnrak Nacob,N/A,7 / 7,100.00,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,THONGCHAI TANSUTAT,N/A,7 / 7,100.00,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,PRAMOTE SANTIWATTANA,N/A,6 / 7,85.71,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,THIPAWAN UTHAISANG,N/A,7 / 7,100.00,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,VACHARA VITAYATANAGORN,N/A,7 / 7,100.00,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,PIKUL TAKSINWARACHARN,N/A,7 / 7,100.00,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,THANET NORABHOOMPIPAT,N/A,7 / 7,100.00,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,VORRAVUTH TANGPIROONTHUM,N/A,7 / 7,100.00,Yes,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,THIPAWAN UTHAISANG,N/A,4 / 4,100.00,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,PRAYOON BOONPRASURD,N/A,4 / 4,100.00,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,PIKUL TAKSINWARACHARN,N/A,4 / 4,100.00,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Executive Committee,1.,THONGCHAI TANSUTAT,N/A,N/A,N/A,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Executive Committee,2.,VACHARA VITAYATANAGORN,N/A,N/A,N/A,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Executive Committee,3.,Wimol Wongchan,N/A,N/A,N/A,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Executive Committee,4.,Lakkhanar Romruen,N/A,N/A,N/A,,
PDG,2022,7,4,20/04/2022,No,"Meeting Attendance of Corporate Governance, Nomination and Remuneration Committee",1.,PIKUL TAKSINWARACHARN,N/A,0 / 0,N/A,,
PDG,2022,7,4,20/04/2022,No,"Meeting Attendance of Corporate Governance, Nomination and Remuneration Committee",2.,THIPAWAN UTHAISANG,N/A,0 / 0,N/A,,
PDG,2022,7,4,20/04/2022,No,"Meeting Attendance of Corporate Governance, Nomination and Remuneration Committee",3.,PRAYOON BOONPRASURD,N/A,0 / 0,N/A,,
PDG,2022,7,4,20/04/2022,No,"Meeting Attendance of Corporate Governance, Nomination and Remuneration Committee",4.,Purnrak Nacob,N/A,0 / 0,N/A,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Strategy Risk and Sustainability Committee,1.,Purnrak Nacob,N/A,0 / 0,N/A,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Strategy Risk and Sustainability Committee,2.,THANET NORABHOOMPIPAT,N/A,0 / 0,N/A,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Strategy Risk and Sustainability Committee,3.,PRAYOON BOONPRASURD,N/A,0 / 0,N/A,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Strategy Risk and Sustainability Committee,4.,PRAMOTE SANTIWATTANA,N/A,0 / 0,N/A,,
PDG,2022,7,4,20/04/2022,No,Meeting Attendance of Strategy Risk and Sustainability Committee,5.,VACHARA VITAYATANAGORN,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRAYOON BOONPRASURD,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,PURNRUX NACOB,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,THONGCHAI TANSUTAT,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,PRAMOTE SANTIWATTANA,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,THIPAWAN UTHAISANG,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,PUKIL TAKSINWARACHARN,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,VACHARA VITAYATANAGORN,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,THANET NORABHOOMPIPAT,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,9.,VORRAVUTH TANGPIROONTHUM,N/A,7 / 7,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of the Board of Directors,10.,Pachai Chanpitaksa,N/A,6 / 6,100.00,Yes,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Audit Committee,1.,THIPAWAN UTHAISANG,N/A,4 / 4,100.00,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Audit Committee,2.,PUKIL TAKSINWARACHARN,N/A,4 / 4,100.00,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Audit Committee,3.,PRAYOON BOONPRASURD,N/A,4 / 4,100.00,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Executive Committee,1.,THONGCHAI TANSUTAT,N/A,N/A,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Executive Committee,2.,VACHARA VITAYATANAGORN,N/A,N/A,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Executive Committee,3.,Wimol Wongchan,N/A,N/A,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Executive Committee,4.,Lakkhanar Romruen,N/A,N/A,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Audit Committee,1.,THIPAWAN UTHAISANG,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Audit Committee,2.,PRAYOON BOONPRASURD,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Audit Committee,3.,PUKIL TAKSINWARACHARN,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,1.,PUKIL TAKSINWARACHARN,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,2.,THIPAWAN UTHAISANG,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,3.,PRAYOON BOONPRASURD,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,4.,PURNRUX NACOB,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Strategic & Risk and Sustainability Committee,1.,PURNRUX NACOB,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Strategic & Risk and Sustainability Committee,2.,PRAYOON BOONPRASURD,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Strategic & Risk and Sustainability Committee,3.,THANET NORABHOOMPIPAT,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Risk Management Committee,1.,Wimol Wongchan,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Risk Management Committee,2.,THONGCHAI TANSUTAT,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Risk Management Committee,3.,VACHARA VITAYATANAGORN,N/A,0 / 0,N/A,,
PDG,2023,7,4,20/04/2023,No,Meeting Attendance of Risk Management Committee,4.,Lakkhanar Romruen,N/A,0 / 0,N/A,,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,PRAYOON BOONPRASURD,N/A,7 / 7,100.00,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,PURNRUX NACOB,N/A,7 / 7,100.00,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,THONGCHAI TANSUTAT,N/A,7 / 7,100.00,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,PRAMOTE SANTIWATTANA,N/A,7 / 7,100.00,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,THIPAWAN UTHAISANG,N/A,7 / 7,100.00,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,VACHARA VITAYATANAGORN,N/A,6 / 7,85.71,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,PUKIL TAKSINWARACHARN,N/A,7 / 7,100.00,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,8.,THANET NORABHOOMPIPAT,N/A,7 / 7,100.00,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,9.,VORRAVUTH TANGPIROONTHUM,N/A,6 / 7,85.71,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,10.,PACHAI CHANPITAKSA,N/A,7 / 7,100.00,1 / 1,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of Audit Committee,1.,THIPAWAN UTHAISANG,N/A,4 / 4,100.00,,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of Audit Committee,2.,PRAYOON BOONPRASURD,N/A,4 / 4,100.00,,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of Audit Committee,3.,PUKIL TAKSINWARACHARN,N/A,4 / 4,100.00,,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of Executive Committee,1.,THONGCHAI TANSUTAT,N/A,12 / 12,100.00,,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of Executive Committee,2.,VACHARA VITAYATANAGORN,N/A,0 / 12,0.00,,
PDG,2024,7,4,24/04/2024,No,Meeting Attendance of Executive Committee,3.,Wimol Wongchan,N/A,12 / 12,100.00,,
