Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,BOONKIET CHOKWATANA,N/A,5 / 5,100.00,Yes,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHAILERT MANOONPOL,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,SUNAN NIYOMNAITHAM,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,NUCHANART THAMMANOMAI,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,TEERADA AMBHANWONG,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHORTHIP PRAMOJ  NA  AYUDHYA,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,KONECHARNART CHUNNABHATA,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,SANTI BANGOR,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,SOMPORN TIYAVIBOONSIRI,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,10.,VIRITPOL CHAITHAVORNSATHIEN,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,11.,KHACHORNSAKDI VANARATSEATH,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,12.,KITYAPORN CHAITHAVORNSATHIEN,N/A,5 / 5,100.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of the Board of Directors,13.,PIRANART CHOKWATANA,N/A,4 / 5,80.00,N/A,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Audit Committee,1.,KHACHORNSAKDI VANARATSEATH,N/A,5 / 5,100.00,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Audit Committee,2.,NUCHANART THAMMANOMAI,N/A,5 / 5,100.00,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Audit Committee,3.,SANTI BANGOR,N/A,5 / 5,100.00,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Executive Committee,1.,VIRITPOL CHAITHAVORNSATHIEN,N/A,N/A,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Executive Committee,2.,SUNAN NIYOMNAITHAM,N/A,N/A,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Executive Committee,3.,Sasivimol Kluyasritrakul,N/A,N/A,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Executive Committee,4.,Salinla Chaiput,N/A,N/A,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Executive Committee,5.,Kalayanee  Chantarapikul,N/A,N/A,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Executive Committee,6.,Nutchapunporn Sunthornwiset,N/A,N/A,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Executive Committee,7.,Photchamarn Engkanisarn,N/A,N/A,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Executive Committee,8.,Suvimol Charoensrichai,N/A,N/A,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Audit Committee,1.,KHACHORNSAKDI VANARATSEATH,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Audit Committee,2.,SANTI BANGOR,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Audit Committee,3.,NUCHANART THAMMANOMAI,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Remuneration Committee,1.,BOONKIET CHOKWATANA,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Remuneration Committee,2.,SUNAN NIYOMNAITHAM,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Remuneration Committee,3.,CHORTHIP PRAMOJ  NA  AYUDHYA,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Remuneration Committee,4.,KITYAPORN CHAITHAVORNSATHIEN,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Nomination Committee,1.,BOONKIET CHOKWATANA,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Nomination Committee,2.,SOMPORN TIYAVIBOONSIRI,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Nomination Committee,3.,CHORTHIP PRAMOJ  NA  AYUDHYA,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Nomination Committee,4.,VIRITPOL CHAITHAVORNSATHIEN,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,1.,KONECHARNART CHUNNABHATA,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,2.,CHAILERT MANOONPOL,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,3.,VIRITPOL CHAITHAVORNSATHIEN,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Sasivimol Kluyasritrakul,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Suvimol Charoensrichai,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,6.,Salinla Chaiput,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,1.,SANTI BANGOR,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,2.,VIRITPOL CHAITHAVORNSATHIEN,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,3.,SUNAN NIYOMNAITHAM,N/A,0 / 0,N/A,,
PG,2022,5,5,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,4.,Suvimol Charoensrichai,N/A,0 / 0,N/A,,
PG,2023,6,N/A,25/04/2023,No,Meeting Attendance of the Board of Directors,1.,BOONKIET CHOKWATANA,N/A,N/A,N/A,N/A,
PG,2023,6,N/A,25/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHAILERT MANOONPOL,N/A,N/A,N/A,N/A,
PG,2023,6,N/A,25/04/2023,No,Meeting Attendance of the Board of Directors,3.,SUNAN NIYOMNAITHAM,N/A,N/A,N/A,N/A,
PG,2023,6,N/A,25/04/2023,No,Meeting Attendance of the Board of Directors,4.,NUCHANART THAMMANOMAI,N/A,N/A,N/A,N/A,
PG,2023,6,N/A,25/04/2023,No,Meeting Attendance of the Board of Directors,5.,TEERADA AMBHANWONG,N/A,N/A,N/A,N/A,
PG,2023,6,N/A,25/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHORTHIP PRAMOJ  NA  AYUDHYA,N/A,N/A,N/A,N/A,
PG,2023,6,N/A,25/04/2023,No,Meeting Attendance of the Board of Directors,7.,KONECHARNART CHUNNABHATA,N/A,N/A,N/A,N/A,
PG,2023,6,N/A,25/04/2023,No,Meeting Attendance of the Board of Directors,8.,SANTI BANGOR,N/A,N/A,N/A,N/A,
