Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PIMO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PIMO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PIMO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,SATIAN POOPRASERT,N/A,6 / 6,100.00,Yes,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,PODJAMARN WONGSUWAN,N/A,6 / 6,100.00,Yes,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,SIRIRAT ITTHIROJANAKUL,N/A,6 / 6,100.00,Yes,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHRISTOPHER ROBERT TAPE,N/A,6 / 6,100.00,Yes,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,WASUN ITTHIROJANAKUL,N/A,6 / 6,100.00,Yes,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,PENNAPHA DHANASARNSILP,N/A,6 / 6,100.00,Yes,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,JIRAYONG ANUMAN-RAJADHON,N/A,6 / 6,100.00,Yes,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,SAKDA TECHAKRIENGKRAI,N/A,6 / 6,100.00,Yes,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,JIRAYONG ANUMAN-RAJADHON,N/A,4 / 4,100.00,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,PENNAPHA DHANASARNSILP,N/A,4 / 4,100.00,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,SAKDA TECHAKRIENGKRAI,N/A,4 / 4,100.00,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,WASUN ITTHIROJANAKUL,N/A,N/A,N/A,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,2.,CHRISTOPHER ROBERT TAPE,N/A,N/A,N/A,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,3.,PODJAMARN WONGSUWAN,N/A,N/A,N/A,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,4.,SIRIRAT ITTHIROJANAKUL,N/A,N/A,N/A,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,5.,Narerat  Itthirojanakul,N/A,N/A,N/A,,
PIMO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,6.,Papat  Itthirojanakul,N/A,N/A,N/A,,
