Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PLANET,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PLANET,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PLANET,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,RUTTIKORN VARAKULSIRIPUNTH,N/A,9 / 9,100.00,No,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,PRAPAT RATHLERTKARN,N/A,9 / 9,100.00,Yes,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,TREVOR JOHN THOMPSON,N/A,9 / 9,100.00,Yes,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,SOMKID WANGCHERDCHUWONG,N/A,9 / 9,100.00,Yes,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,WICHAI LAOHMATVANICH,N/A,9 / 9,100.00,Yes,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,TAWEESUK SRISUMRID,N/A,9 / 9,100.00,Yes,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,PANOM RATANARAT,N/A,9 / 9,100.00,Yes,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,ATCHARAWAN JEARTHANAPORN,N/A,7 / 7,100.00,Yes,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Audit Committee,1.,WICHAI LAOHMATVANICH,N/A,4 / 4,100.00,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMKID WANGCHERDCHUWONG,N/A,4 / 4,100.00,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Audit Committee,3.,TAWEESUK SRISUMRID,N/A,4 / 4,100.00,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Executive Committee,1.,PRAPAT RATHLERTKARN,N/A,N/A,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Executive Committee,2.,TREVOR JOHN THOMPSON,N/A,N/A,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Executive Committee,3.,ATCHARAWAN JEARTHANAPORN,N/A,N/A,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Executive Committee,4.,Ummika Rathlertkarn,N/A,N/A,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Executive Committee,5.,PANOM RATANARAT,N/A,N/A,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,1.,SOMKID WANGCHERDCHUWONG,N/A,0 / 0,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,2.,WICHAI LAOHMATVANICH,N/A,0 / 0,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,3.,TAWEESUK SRISUMRID,N/A,0 / 0,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Risk Management Committee,1.,TAWEESUK SRISUMRID,N/A,0 / 0,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Risk Management Committee,2.,WICHAI LAOHMATVANICH,N/A,0 / 0,N/A,,
PLANET,2022,9,4,25/04/2022,No,Meeting Attendance of Risk Management Committee,3.,SOMKID WANGCHERDCHUWONG,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,RUTTIKORN VARAKULSIRIPUNTH,N/A,7 / 7,100.00,Yes,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,PRAPAT RATHLERTKARN,N/A,7 / 7,100.00,Yes,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,TREVOR JOHN THOMPSON,N/A,7 / 7,100.00,Yes,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,SOMKID WANGCHERDCHUWONG,N/A,7 / 7,100.00,Yes,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,WICHAI LAOHMATVANICH,N/A,7 / 7,100.00,Yes,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,PANOM RATANARAT,N/A,7 / 7,100.00,Yes,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,ATCHARAWAN JEARTHANAPORN,N/A,7 / 7,100.00,Yes,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,KANGWAN YODWISITSAK,N/A,0 / 0,N/A,No,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,TAWEESUK SRISUMRID,30/09/2023,5 / 5,100.00,Yes,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Audit Committee,1.,WICHAI LAOHMATVANICH,N/A,4 / 4,100.00,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Audit Committee,2.,SOMKID WANGCHERDCHUWONG,N/A,4 / 4,100.00,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Audit Committee,3.,KANGWAN YODWISITSAK,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Audit Committee,4.,TAWEESUK SRISUMRID,30/09/2023,3 / 3,100.00,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Audit Committee,5.,RUTTIKORN VARAKULSIRIPUNTH,21/12/2023,1 / 1,100.00,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Executive Committee,1.,PRAPAT RATHLERTKARN,N/A,N/A,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Executive Committee,2.,TREVOR JOHN THOMPSON,N/A,N/A,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Executive Committee,3.,ATCHARAWAN JEARTHANAPORN,N/A,N/A,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Executive Committee,4.,Ummika Rathlertkarn,N/A,N/A,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Executive Committee,5.,PANOM RATANARAT,N/A,N/A,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,1.,SOMKID WANGCHERDCHUWONG,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,2.,WICHAI LAOHMATVANICH,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,3.,KANGWAN YODWISITSAK,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Risk Management Committee,1.,WICHAI LAOHMATVANICH,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Risk Management Committee,2.,KANGWAN YODWISITSAK,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Risk Management Committee,3.,SOMKID WANGCHERDCHUWONG,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Audit Committee,1.,WICHAI LAOHMATVANICH,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Audit Committee,2.,SOMKID WANGCHERDCHUWONG,N/A,0 / 0,N/A,,
PLANET,2023,7,7,28/04/2023,No,Meeting Attendance of Audit Committee,3.,KANGWAN YODWISITSAK,N/A,0 / 0,N/A,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,RUTTIKORN VARAKULSIRIPUNTH,N/A,7 / 7,100.00,0 / 1,1 / 1
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,PRAPAT RATHLERTKARN,N/A,7 / 7,100.00,1 / 1,1 / 1
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,TREVOR JOHN THOMPSON,N/A,7 / 7,100.00,1 / 1,1 / 1
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,SOMKID WANGCHERDCHUWONG,N/A,7 / 7,100.00,1 / 1,1 / 1
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,WICHAI LAOHMATVANICH,N/A,7 / 7,100.00,1 / 1,1 / 1
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of the Board of Directors,6.,PANOM RATANARAT,N/A,7 / 7,100.00,1 / 1,1 / 1
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of the Board of Directors,7.,ATCHARAWAN JEARTHANAPORN,N/A,7 / 7,100.00,1 / 1,1 / 1
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of the Board of Directors,8.,KANGWAN YODWISITSAK,N/A,7 / 7,100.00,1 / 1,1 / 1
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Audit Committee,1.,WICHAI LAOHMATVANICH,N/A,6 / 6,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Audit Committee,2.,SOMKID WANGCHERDCHUWONG,N/A,6 / 6,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Audit Committee,3.,KANGWAN YODWISITSAK,N/A,6 / 6,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Executive Committee,1.,PRAPAT RATHLERTKARN,N/A,17 / 17,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Executive Committee,2.,TREVOR JOHN THOMPSON,N/A,17 / 17,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Executive Committee,3.,ATCHARAWAN JEARTHANAPORN,N/A,17 / 17,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Executive Committee,4.,Ummika Rathlertkarn,N/A,17 / 17,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Executive Committee,5.,PANOM RATANARAT,N/A,17 / 17,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,1.,SOMKID WANGCHERDCHUWONG,N/A,2 / 2,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,2.,WICHAI LAOHMATVANICH,N/A,2 / 2,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Nomination Remuneration and Corporate Governance Committee,3.,KANGWAN YODWISITSAK,N/A,2 / 2,100.00,,
PLANET,2024,7,6,30/04/2024,Yes,Meeting Attendance of Risk Management Committee,1.,WICHAI LAOHMATVANICH,N/A,2 / 2,100.00,,
