Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PLT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PLT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PLT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PLT,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PLT,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PLT,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of the Board of Directors,1.,CHAIWAT DAMRONGMONGKOLGUL,N/A,9 / 9,100.00,Yes,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of the Board of Directors,2.,THAKRIT CHIMTAWAN,N/A,9 / 9,100.00,Yes,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of the Board of Directors,3.,SURAPONG RONGSIRIKUL,N/A,9 / 9,100.00,Yes,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of the Board of Directors,4.,VARAWIT CHIMTAWAN,N/A,9 / 9,100.00,Yes,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of the Board of Directors,5.,PUT-ORN SANGBOONKERD,N/A,9 / 9,100.00,Yes,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of the Board of Directors,6.,KARITTHA KAOSANG,N/A,8 / 9,88.89,Yes,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of the Board of Directors,7.,CHAIWAT SAKOUWJIT,N/A,9 / 9,100.00,Yes,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of the Board of Directors,8.,PICHET TANASET,N/A,8 / 9,88.89,Yes,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Audit Committee,1.,SURAPONG RONGSIRIKUL,N/A,5 / 5,100.00,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Audit Committee,2.,CHAIWAT DAMRONGMONGKOLGUL,N/A,5 / 5,100.00,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Audit Committee,3.,CHAIWAT SAKOUWJIT,N/A,5 / 5,100.00,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Executive Committee,1.,Sirichai Somboonrungrote,N/A,N/A,N/A,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Executive Committee,2.,Thritsanu Chimtawan,N/A,N/A,N/A,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Executive Committee,3.,THAKRIT CHIMTAWAN,N/A,N/A,N/A,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Executive Committee,4.,VARAWIT CHIMTAWAN,N/A,N/A,N/A,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Executive Committee,5.,PUT-ORN SANGBOONKERD,N/A,N/A,N/A,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of Executive Committee,6.,KARITTHA KAOSANG,N/A,N/A,N/A,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of nomination and remuneration committee,1.,CHAIWAT SAKOUWJIT,N/A,0 / 0,N/A,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of nomination and remuneration committee,2.,CHAIWAT DAMRONGMONGKOLGUL,N/A,0 / 0,N/A,,
PLT,2023,9,5,15/03/2023,No,Meeting Attendance of nomination and remuneration committee,3.,PICHET TANASET,N/A,0 / 0,N/A,,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,1.,CHAIWAT DAMRONGMONGKOLGUL,N/A,7 / 7,100.00,1 / 1,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,2.,THAKRIT CHIMTAWAN,N/A,6 / 7,85.71,1 / 1,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,3.,SURAPONG RONGSIRIKUL,N/A,7 / 7,100.00,1 / 1,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,4.,VARAWIT CHIMTAWAN,N/A,7 / 7,100.00,1 / 1,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,5.,PUT-ORN SANGBOONKERD,N/A,7 / 7,100.00,1 / 1,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,6.,CHAIWAT SAKOUWJIT,N/A,7 / 7,100.00,1 / 1,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,7.,PICHET TANASET,N/A,7 / 7,100.00,1 / 1,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,8.,PROUD LIMPONGPAN,N/A,6 / 6,100.00,0 / 1,
PLT,2024,7,4,18/04/2024,No,Meeting Attendance of the Board of Directors,9.,KARITTHA KAOSANG,28/02/2024,0 / 0,N/A,0 / 0,
