Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,PHOTIPONG LAMSAM,N/A,6 / 6,100.00,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,POOMCHAI LAMSAM,N/A,4 / 6,66.67,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,ARPATSORN BUNNAG,N/A,6 / 6,100.00,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,POONPIPAT AUNGURIGUL,N/A,5 / 6,83.33,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,SARA LAMSAM,N/A,6 / 6,100.00,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,PIPOP KUNASOL,N/A,6 / 6,100.00,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,ANUPON LIKITPURKPAISAN,N/A,6 / 6,100.00,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,NUALPHAN LAMSAM,N/A,6 / 6,100.00,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,CHANTRA PURNARIKSHA,N/A,6 / 6,100.00,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,10.,VICHATE TANTIWANICH,N/A,5 / 6,83.33,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,11.,SUTEE MOKKHAVESA,N/A,6 / 6,100.00,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,12.,SUEBTRAKUL SOONTHORNTHUM,N/A,5 / 6,83.33,Yes,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,SUEBTRAKUL SOONTHORNTHUM,N/A,4 / 4,100.00,,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,ARPATSORN BUNNAG,N/A,4 / 4,100.00,,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,POONPIPAT AUNGURIGUL,N/A,4 / 4,100.00,,
PL,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
