Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PMTA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PMTA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PMTA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHALERMCHAI MAHAGITSIRI,N/A,4 / 5,80.00,Yes,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,SIGMUND STROMME,N/A,5 / 5,100.00,Yes,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,SATHIT PARNIANGTONG,N/A,5 / 5,100.00,Yes,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUVIMOL MAHAGITSIRI,N/A,5 / 5,100.00,Yes,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,RAPEE MOUNGNONT,N/A,5 / 5,100.00,Yes,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRAKARD SATAMARN,N/A,5 / 5,100.00,Yes,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,JEAN PAUL THEVENIN,N/A,5 / 5,100.00,Yes,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOMCHAI APINYANUKUL,N/A,5 / 5,100.00,Yes,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Audit Committee,1.,PRAKARD SATAMARN,N/A,5 / 5,100.00,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Audit Committee,2.,SATHIT PARNIANGTONG,N/A,5 / 5,100.00,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Audit Committee,3.,RAPEE MOUNGNONT,N/A,5 / 5,100.00,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Executive Committee,1.,CHALERMCHAI MAHAGITSIRI,N/A,N/A,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Executive Committee,2.,JEAN PAUL THEVENIN,N/A,N/A,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Executive Committee,3.,SIGMUND STROMME,N/A,N/A,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Audit Committee,1.,PRAKARD SATAMARN,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Audit Committee,2.,SATHIT PARNIANGTONG,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Audit Committee,3.,RAPEE MOUNGNONT,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SATHIT PARNIANGTONG,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PRAKARD SATAMARN,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JEAN PAUL THEVENIN,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,SIGMUND STROMME,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SATHIT PARNIANGTONG,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Risk Management Committee,2.,CHALERMCHAI MAHAGITSIRI,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Risk Management Committee,3.,JEAN PAUL THEVENIN,N/A,0 / 0,N/A,,
PMTA,2022,5,5,25/04/2022,No,Meeting Attendance of Risk Management Committee,4.,SIGMUND STROMME,N/A,0 / 0,N/A,,
PMTA,2023,5,5,25/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHALERMCHAI MAHAGITSIRI,N/A,5 / 5,100.00,Yes,
