Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PPPM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PPPM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PPPM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PPPM,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PPPM,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PPPM,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,NAMKANG PUNGTHONG,N/A,13 / 13,100.00,Yes,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,THIENRATH VICHIENSAN,N/A,13 / 13,100.00,Yes,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,DENCHAI AKARADAJDACHACHAI,N/A,13 / 13,100.00,Yes,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,KRISANA WAROPAS,N/A,13 / 13,100.00,Yes,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,PHANPIENGDUEN SUNGKAHAPONG,N/A,12 / 13,92.31,Yes,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,ARAN PERMPIBOON,N/A,13 / 13,100.00,Yes,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,WAIWIT UDAYACHALERM,N/A,11 / 13,84.62,Yes,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,SUPATTRA NAKMONTANAKUM,N/A,13 / 13,100.00,Yes,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,PONGSAK HEMATAPPA,N/A,0 / 7,0.00,No,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Audit Committee,1.,ARAN PERMPIBOON,N/A,11 / 11,100.00,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Audit Committee,2.,THIENRATH VICHIENSAN,N/A,11 / 11,100.00,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Audit Committee,3.,KRISANA WAROPAS,N/A,11 / 11,100.00,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Audit Committee,4.,WAIWIT UDAYACHALERM,N/A,11 / 11,100.00,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Executive Committee,1.,SUPATTRA NAKMONTANAKUM,N/A,N/A,N/A,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Executive Committee,2.,PHANPIENGDUEN SUNGKAHAPONG,N/A,N/A,N/A,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Executive Committee,3.,Utaiwan Ruangrojwiriya,N/A,N/A,N/A,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Executive Committee,4.,Theera Kitijarurat,N/A,N/A,N/A,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Executive Committee,5.,DENCHAI AKARADAJDACHACHAI,N/A,N/A,N/A,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,THIENRATH VICHIENSAN,N/A,0 / 0,N/A,,
PPPM,2023,13,11,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KRISANA WAROPAS,N/A,0 / 0,N/A,,
