Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PPS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PPS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PPS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRASONG THARACHAI,N/A,5 / 5,100.00,Yes,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,KACHEN BENJAKUL,N/A,5 / 5,100.00,Yes,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,PHONGTHON THARACHAI,N/A,5 / 5,100.00,Yes,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,TAT THONGPAKDI,N/A,5 / 5,100.00,Yes,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,THEERATHON THARACHAI,N/A,5 / 5,100.00,Yes,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,PISIT SAENG-XUTO,N/A,5 / 5,100.00,Yes,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHULA SUKMANOP,N/A,5 / 5,100.00,Yes,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,ATTAWOOT PAPANGKORN,N/A,4 / 4,100.00,No,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,KACHEN BENJAKUL,N/A,4 / 4,100.00,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,CHULA SUKMANOP,N/A,4 / 4,100.00,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,4.,ATTAWOOT PAPANGKORN,N/A,3 / 3,100.00,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,1.,PHONGTHON THARACHAI,N/A,N/A,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,2.,PRASONG THARACHAI,N/A,N/A,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,3.,TAT THONGPAKDI,N/A,N/A,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,4.,THEERATHON THARACHAI,N/A,N/A,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,5.,Wanchai Ruangsub-anek,N/A,N/A,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,6.,Nopparat Narin,N/A,N/A,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,7.,Thunyanan  Vijavksungsithi,N/A,N/A,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,8.,Voradaj Piemsuwan,N/A,N/A,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,KACHEN BENJAKUL,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PISIT SAENG-XUTO,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,Anupan Wananukul,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,1.,CHULA SUKMANOP,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,2.,ATTAWOOT PAPANGKORN,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Prawat  Kitipongpairoj,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Voradaj Piemsuwan,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Wannee Sriratchakulpitak,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,6.,Rungnapha  Srichuay,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,7.,Pairin  Songkramrod,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,PISIT SAENG-XUTO,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,PHONGTHON THARACHAI,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,Rungnapha  Srichuay,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,Thunyanan  Vijavksungsithi,N/A,0 / 0,N/A,,
PPS,2022,5,4,22/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,Eakkamol Lertchunhakiat,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRASONG THARACHAI,N/A,5 / 5,100.00,Yes,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,PHONGTHON THARACHAI,N/A,5 / 5,100.00,Yes,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,TAT THONGPAKDI,N/A,5 / 5,100.00,Yes,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,THEERATHON THARACHAI,N/A,5 / 5,100.00,Yes,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,PISIT SAENG-XUTO,N/A,5 / 5,100.00,Yes,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,ATTAWOOT PAPANGKORN,N/A,5 / 5,100.00,Yes,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,Jaiyavat Navaraj,N/A,4 / 4,100.00,No,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,Preechaya Sittipunt,N/A,4 / 4,100.00,No,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,ATTAWOOT PAPANGKORN,N/A,4 / 4,100.00,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,Jaiyavat Navaraj,N/A,3 / 3,100.00,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,4.,Preechaya Sittipunt,N/A,3 / 3,100.00,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,1.,PHONGTHON THARACHAI,N/A,N/A,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,2.,TAT THONGPAKDI,N/A,N/A,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,3.,Wanchai Ruangsup-anek,N/A,N/A,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,4.,Nopparat Narin,N/A,N/A,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,5.,Kodchanipa Kalapak,N/A,N/A,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,1.,ATTAWOOT PAPANGKORN,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,2.,Prawat  Kitipongpairoj,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,3.,Wanchai Ruangsup-anek,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,4.,Nopparat Narin,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,5.,Rungnapa Srichuay,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,6.,Kodchanipa Kalapak,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Nomination and Renumeration Committee,1.,PISIT SAENG-XUTO,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Nomination and Renumeration Committee,2.,Jaiyavat Navaraj,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Nomination and Renumeration Committee,3.,Anupan Wananukul,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,PISIT SAENG-XUTO,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,PHONGTHON THARACHAI,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,Preechaya Sittipunt,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,Eakkamol Lertchunhakiat,N/A,0 / 0,N/A,,
PPS,2023,5,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,Rungnapa Srichuay,N/A,0 / 0,N/A,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of the Board of Directors,1.,PRASONG THARACHAI,N/A,5 / 5,100.00,1 / 1,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of the Board of Directors,2.,PHONGTHON THARACHAI,N/A,5 / 5,100.00,1 / 1,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of the Board of Directors,3.,TAT THONGPAKDI,N/A,5 / 5,100.00,1 / 1,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of the Board of Directors,4.,THEERATHON THARACHAI,N/A,5 / 5,100.00,1 / 1,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of the Board of Directors,5.,PISIT SAENG-XUTO,N/A,5 / 5,100.00,1 / 1,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of the Board of Directors,6.,ATTAWOOT PAPANGKORN,N/A,5 / 5,100.00,1 / 1,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of the Board of Directors,7.,Jaiyavat Navaraj,N/A,5 / 5,100.00,1 / 1,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of the Board of Directors,8.,PREECHAYA SITTIPUNT,N/A,5 / 5,100.00,1 / 1,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Audit Committee,1.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Audit Committee,2.,ATTAWOOT PAPANGKORN,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Audit Committee,3.,Jaiyavat Navaraj,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Audit Committee,4.,PREECHAYA SITTIPUNT,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Executive Committee,1.,PHONGTHON THARACHAI,N/A,12 / 12,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Executive Committee,2.,TAT THONGPAKDI,N/A,12 / 12,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Executive Committee,3.,Wanchai Ruangsup-anek,N/A,8 / 12,66.67,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Executive Committee,4.,Nopparat Narin,N/A,11 / 12,91.67,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Executive Committee,5.,Kodchanipa Kalapak,N/A,12 / 12,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Risk Management Committee,1.,ATTAWOOT PAPANGKORN,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Risk Management Committee,2.,Prawat  Kitipongpairoj,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Risk Management Committee,3.,Wanchai Ruangsup-anek,N/A,1 / 1,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Risk Management Committee,4.,Nopparat Narin,N/A,3 / 3,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Risk Management Committee,5.,Rungnapa Srichuay,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Risk Management Committee,6.,Kodchanipa Kalapak,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Risk Management Committee,7.,Nasid  Chirabhundhu,N/A,2 / 2,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Nomination and Renumeration Committee,1.,PISIT SAENG-XUTO,N/A,2 / 2,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Nomination and Renumeration Committee,2.,Jaiyavat Navaraj,N/A,2 / 2,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Nomination and Renumeration Committee,3.,Anupan Wananukul,N/A,2 / 2,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,PHONGTHON THARACHAI,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,Preechaya Sittipunt,N/A,2 / 4,50.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,Eakkamol Lertchunhakiat,N/A,4 / 4,100.00,,
PPS,2024,5,4,24/04/2025,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,Rungnapa Srichuay,N/A,3 / 3,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,PRASONG THARACHAI,N/A,4 / 4,100.00,1 / 1,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,PHONGTHON THARACHAI,N/A,4 / 4,100.00,1 / 1,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,THEERATHON THARACHAI,N/A,4 / 4,100.00,1 / 1,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,1 / 1,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,ATTAWOOT PAPANGKORN,N/A,4 / 4,100.00,1 / 1,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,Jaiyavat Navaraj,N/A,4 / 4,100.00,1 / 1,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,PREECHAYA SITTIPUNT,N/A,3 / 4,75.00,1 / 1,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,TAT THONGPAKDI,02/06/2025,2 / 2,100.00,1 / 1,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,ATTAWOOT PAPANGKORN,N/A,4 / 4,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,Jaiyavat Navaraj,N/A,4 / 4,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,4.,PREECHAYA SITTIPUNT,N/A,3 / 4,75.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,PHONGTHON THARACHAI,N/A,12 / 12,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,TAT THONGPAKDI,N/A,12 / 12,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,Wanchai Ruangsup-anek,N/A,12 / 12,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,Nopparat Narin,N/A,10 / 12,83.33,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,Kodchanipa Kalapak,N/A,12 / 12,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,6.,TAT THONGPAKDI,02/06/2025,N/A,N/A,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,ATTAWOOT PAPANGKORN,N/A,4 / 4,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,Prawat  Kitipongpairoj,N/A,3 / 4,75.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,3.,Nopparat Narin,N/A,4 / 4,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,4.,Rungnapa Srichuay,N/A,3 / 4,75.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,5.,Kodchanipa Kalapak,N/A,4 / 4,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,6.,Nasid  Chirabhundhu,N/A,4 / 4,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Renumeration Committee,1.,PISIT SAENG-XUTO,N/A,2 / 2,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Renumeration Committee,2.,Jaiyavat Navaraj,N/A,2 / 2,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Renumeration Committee,3.,Anupan Wananukul,N/A,2 / 2,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,PISIT SAENG-XUTO,N/A,3 / 4,75.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,PHONGTHON THARACHAI,N/A,4 / 4,100.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,Eakkamol Lertchunhakiat,N/A,3 / 4,75.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,Rungnapa Srichuay,N/A,3 / 4,75.00,,
PPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,PREECHAYA SITTIPUNT,N/A,1 / 4,25.00,,
PPS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
PPS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
PPS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
