Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PQS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PQS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PQS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,ANEK PANA-APICHON,N/A,11 / 11,100.00,Yes,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,SOMYOT CHANCHUNGTHAWORN,N/A,12 / 12,100.00,Yes,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,ANUCHATE SAENKHOT,N/A,12 / 12,100.00,Yes,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,APHIRAT THAWATCHUTIKORN,N/A,12 / 12,100.00,Yes,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,RATHWIROON CHANCHUNGTHAWORN,N/A,12 / 12,100.00,Yes,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,CHANATIP WEERASUBPONG,N/A,11 / 11,100.00,Yes,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,NATTAKIT TANGPOONSINTHANA,N/A,11 / 11,100.00,Yes,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,KOMSAN JUMROONPONG,N/A,11 / 11,100.00,Yes,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Audit Committee,1.,CHANATIP WEERASUBPONG,N/A,11 / 11,100.00,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Audit Committee,2.,NATTAKIT TANGPOONSINTHANA,N/A,11 / 11,100.00,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Audit Committee,3.,KOMSAN JUMROONPONG,N/A,11 / 11,100.00,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Executive Committee,1.,SOMYOT CHANCHUNGTHAWORN,N/A,N/A,N/A,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Executive Committee,2.,ANUCHATE SAENKHOT,N/A,N/A,N/A,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Executive Committee,3.,RATHWIROON CHANCHUNGTHAWORN,N/A,N/A,N/A,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Executive Committee,4.,APHIRAT THAWATCHUTIKORN,01/02/2023,N/A,N/A,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Nomination Remuneration and Governance Committee,1.,NATTAKIT TANGPOONSINTHANA,N/A,0 / 0,N/A,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Nomination Remuneration and Governance Committee,2.,ANEK PANA-APICHON,N/A,0 / 0,N/A,,
PQS,2022,12,11,21/04/2022,Yes,Meeting Attendance of Nomination Remuneration and Governance Committee,3.,SOMYOT CHANCHUNGTHAWORN,N/A,0 / 0,N/A,,
