Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PRAPAT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PRAPAT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PRAPAT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,BOWON VONGSINUDOM,N/A,4 / 4,100.00,Yes,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,SUEBPONG KETNUTE,N/A,4 / 4,100.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,ANNOP JULAPHAN,N/A,4 / 4,100.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,SOPON SIKKAKOSOL,N/A,4 / 4,100.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,PRAMOTH SINGHANUE,N/A,4 / 4,100.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,SOMKIAT JITVUTTHICHOD,N/A,4 / 4,100.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,SATIT ANANTASOMBOON,N/A,3 / 4,75.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,SUEBPONG ATICHARTAKARN,N/A,3 / 4,75.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,CHONATEE TWILTERMSUP,N/A,4 / 4,100.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,VEERAPONG LUESAKUL,N/A,4 / 4,100.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,THANACHAT THANASETTAGONE,N/A,1 / 4,25.00,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of the Board of Directors,12.,JITWATANA JARUWATANACHAI,01/06/2022,N/A,N/A,N/A,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of Audit Committee,1.,SOMKIAT JITVUTTHICHOD,N/A,9 / 9,100.00,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of Audit Committee,2.,PRAMOTH SINGHANUE,N/A,9 / 9,100.00,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of Audit Committee,3.,THANACHAT THANASETTAGONE,N/A,1 / 9,11.11,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of Audit Committee,4.,JITWATANA JARUWATANACHAI,01/06/2022,5 / 9,55.56,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of Audit Committee,1.,SOMKIAT JITVUTTHICHOD,N/A,0 / 0,N/A,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of Audit Committee,2.,PRAMOTH SINGHANUE,N/A,0 / 0,N/A,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of Audit Committee,3.,THANACHAT THANASETTAGONE,N/A,0 / 0,N/A,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of ESG & R,1.,VEERAPONG LUESAKUL,N/A,0 / 0,N/A,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of ESG & R,2.,ANNOP JULAPHAN,N/A,0 / 0,N/A,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of ESG & R,3.,CHONATEE TWILTERMSUP,N/A,0 / 0,N/A,,
PRAPAT,2022,4,9,25/04/2022,Yes,Meeting Attendance of ESG & R,4.,SUEBPONG ATICHARTAKARN,N/A,0 / 0,N/A,,
