Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PREB,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PREB,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PREB,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,SIRICHAI SOMBUTSIRI,N/A,10 / 10,100.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,WIROT CHAROENTRA,N/A,9 / 10,90.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,SITTIPORN SRINUALNAD,N/A,10 / 10,100.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,PRASONG PRAPASSARATIT,N/A,10 / 10,100.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,SARAVUT BUSAYARAT,N/A,10 / 10,100.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,NATA HONGLADAROM,N/A,10 / 10,100.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUTHEP THARAWAS,N/A,9 / 10,90.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHATURONG PUMARIN,N/A,10 / 10,100.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,TANIT TONGTHONG,N/A,10 / 10,100.00,Yes,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,SARAVUT BUSAYARAT,N/A,4 / 4,100.00,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,PRASONG PRAPASSARATIT,N/A,4 / 4,100.00,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,SUTHEP THARAWAS,N/A,1 / 1,100.00,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Audit Committee,4.,TANIT TONGTHONG,01/10/2022,3 / 3,100.00,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Executive Committee,1.,WIROT CHAROENTRA,N/A,N/A,N/A,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Executive Committee,2.,TANIT TONGTHONG,N/A,N/A,N/A,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Executive Committee,3.,NATA HONGLADAROM,N/A,N/A,N/A,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Executive Committee,4.,SITTIPORN SRINUALNAD,N/A,N/A,N/A,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Selection and Remuneration Committee,1.,SARAVUT BUSAYARAT,N/A,0 / 0,N/A,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Selection and Remuneration Committee,2.,TANIT TONGTHONG,N/A,0 / 0,N/A,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Selection and Remuneration Committee,3.,SUTHEP THARAWAS,N/A,0 / 0,N/A,,
PREB,2022,10,4,21/04/2022,No,Meeting Attendance of Selection and Remuneration Committee,4.,NATA HONGLADAROM,N/A,0 / 0,N/A,,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,SIRICHAI SOMBUTSIRI,N/A,10 / 11,90.91,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,WIROT CHAROENTRA,N/A,11 / 11,100.00,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,SITTIPORN SRINUALNAD,N/A,9 / 11,81.82,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,PRASONG PRAPASSARATIT,N/A,9 / 11,81.82,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,SARAVUT BUSAYARAT,N/A,10 / 11,90.91,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,NATA HONGLADAROM,N/A,11 / 11,100.00,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHATURONG PUMARIN,N/A,10 / 11,90.91,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,SUTHEP THARAWAS,N/A,11 / 11,100.00,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of the Board of Directors,9.,TANIT TONGTHONG,N/A,10 / 11,90.91,Yes,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of Audit Committee,1.,SARAVUT BUSAYARAT,N/A,4 / 4,100.00,,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of Audit Committee,2.,PRASONG PRAPASSARATIT,N/A,4 / 4,100.00,,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of Audit Committee,3.,SUTHEP THARAWAS,N/A,4 / 4,100.00,,
PREB,2023,11,4,20/04/2023,No,Meeting Attendance of Executive Committee,1.,WIROT CHAROENTRA,N/A,N/A,N/A,,
