Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PRECHA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PRECHA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PRECHA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PRECHA,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PRECHA,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PRECHA,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,PACHARA YUTIDHAMMADAMRONG,N/A,6 / 6,100.00,Yes,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,TIPAPORN ASSAWASOJTHI,N/A,5 / 6,83.33,Yes,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,SOMPORN VECHPANICH,N/A,6 / 6,100.00,Yes,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,SOMCHET THINAPHONG,N/A,6 / 6,100.00,Yes,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,THANONSORN LERTLITSIRIKUL,N/A,5 / 6,83.33,Yes,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,KITIMA PAVARSEKUL,N/A,6 / 6,100.00,Yes,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,YUTTANA YIMGARUND,N/A,3 / 6,50.00,Yes,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Audit Committee,1.,PACHARA YUTIDHAMMADAMRONG,N/A,5 / 5,100.00,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Audit Committee,2.,SOMPORN VECHPANICH,N/A,5 / 5,100.00,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Audit Committee,3.,KITIMA PAVARSEKUL,N/A,5 / 5,100.00,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Executive Committee,1.,SOMCHET THINAPHONG,N/A,N/A,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Executive Committee,2.,THANONSORN LERTLITSIRIKUL,N/A,N/A,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Executive Committee,3.,Somkid Boonthanom,N/A,N/A,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Executive Committee,4.,Somchai Lersviriyajitt,N/A,N/A,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Member of the Nomination and Remuneration Committee,1.,SOMPORN VECHPANICH,N/A,0 / 0,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Member of the Nomination and Remuneration Committee,2.,SOMCHET THINAPHONG,N/A,0 / 0,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Member of the Nomination and Remuneration Committee,3.,THANONSORN LERTLITSIRIKUL,N/A,0 / 0,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Risk Management Committee,1.,SOMCHET THINAPHONG,N/A,0 / 0,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Risk Management Committee,2.,THANONSORN LERTLITSIRIKUL,N/A,0 / 0,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Risk Management Committee,3.,YUTTANA YIMGARUND,N/A,0 / 0,N/A,,
PRECHA,2023,6,5,20/04/2023,Yes,Meeting Attendance of Risk Management Committee,4.,Somkid Boonthanom,N/A,0 / 0,N/A,,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,PACHARA YUTIDHAMMADAMRONG,N/A,5 / 5,100.00,1 / 1,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,TIPAPORN ASSAWASOJTHI,N/A,4 / 5,80.00,1 / 1,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,SOMPORN VECHPANICH,N/A,4 / 5,80.00,1 / 1,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,4.,SOMCHET THINAPHONG,N/A,5 / 5,100.00,1 / 1,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,5.,THANONSORN LERTLITSIRIKUL,N/A,5 / 5,100.00,1 / 1,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,6.,KITIMA PAVARSEKUL,N/A,4 / 5,80.00,1 / 1,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,7.,YUTTANA YIMGARUND,N/A,4 / 5,80.00,1 / 1,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of Audit Committee,1.,PACHARA YUTIDHAMMADAMRONG,N/A,4 / 4,100.00,,
PRECHA,2024,5,4,25/04/2024,No,Meeting Attendance of Audit Committee,2.,SOMPORN VECHPANICH,N/A,3 / 4,75.00,,
