Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PRG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PRG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PRG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,SUPHADEJ POONPIPAT,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,SUVAIT THEERAVACHIRAKUL,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,PORNSIRI POONAKASEM,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,SATHIT PARNIANGTONG,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,VEENA ARUNYAKASEM,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PAKIT IAMOPAS,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,KASEMSUK CHONGMANKHONG,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,WICHAK PRADITAVANIJ,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,SOMKIAT MAKCAYATHORN,N/A,12 / 12,100.00,Yes,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of Audit Committee,1.,PORNSIRI POONAKASEM,N/A,12 / 12,100.00,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of Audit Committee,2.,SATHIT PARNIANGTONG,N/A,12 / 12,100.00,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of Audit Committee,3.,VEENA ARUNYAKASEM,N/A,12 / 12,100.00,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of Executive Committee,1.,PAKIT IAMOPAS,N/A,N/A,N/A,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of Executive Committee,2.,SUVAIT THEERAVACHIRAKUL,N/A,N/A,N/A,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of Executive Committee,3.,WICHAK PRADITAVANIJ,N/A,N/A,N/A,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of Executive Committee,4.,SOMKIAT MAKCAYATHORN,N/A,N/A,N/A,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of Executive Committee,5.,KRAIVIN SRIKRAIVIN,N/A,N/A,N/A,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of The Strategy Committee,1.,VEENA ARUNYAKASEM,N/A,0 / 0,N/A,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of The Strategy Committee,2.,PAKIT IAMOPAS,N/A,0 / 0,N/A,,
PRG,2022,12,12,28/04/2022,Yes,Meeting Attendance of The Strategy Committee,3.,SATHIT PARNIANGTONG,N/A,0 / 0,N/A,,
