Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PRIN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PRIN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PRIN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,1.,WARAPATR TODHANAKASEM,N/A,5 / 5,100.00,Yes,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,2.,SIRILUCK KOVITCHINDACHAI,N/A,4 / 5,80.00,No,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,3.,MONPAKA VONGSA,N/A,5 / 5,100.00,Yes,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,4.,ANCHALEE PIPATANASERN,N/A,5 / 5,100.00,Yes,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,5.,PRINYA KOVITCHINDACHAI,N/A,5 / 5,100.00,Yes,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,6.,NIRUT INTARATHACHANG,N/A,5 / 5,100.00,Yes,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,7.,ANUPHAN KITNITCHIVA,N/A,2 / 5,40.00,No,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,8.,THONGKAM MANASILAPAPAN,N/A,1 / 5,20.00,No,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,9.,WILAWAN TUMMACHART,24/06/2022,2 / 5,40.00,Yes,
PRIN,2022,5,4,N/A,No,Meeting Attendance of the Board of Directors,10.,CHAIRAT KOVITCHINDACHAI,12/05/2022,2 / 5,40.00,Yes,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Audit Committee,1.,ANCHALEE PIPATANASERN,N/A,4 / 4,100.00,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Audit Committee,2.,MONPAKA VONGSA,N/A,4 / 4,100.00,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Audit Committee,3.,THONGKAM MANASILAPAPAN,N/A,2 / 4,50.00,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Audit Committee,4.,WILAWAN TUMMACHART,24/06/2022,1 / 4,25.00,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Executive Committee,1.,SIRILUCK KOVITCHINDACHAI,N/A,N/A,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Executive Committee,2.,PRINYA KOVITCHINDACHAI,N/A,N/A,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Executive Committee,3.,CHAIRAT KOVITCHINDACHAI,N/A,N/A,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,1.,ANCHALEE PIPATANASERN,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,2.,THONGKAM MANASILAPAPAN,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,3.,MONPAKA VONGSA,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,4.,WILAWAN TUMMACHART,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Audit Committee-AC,1.,ANCHALEE PIPATANASERN,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Audit Committee-AC,2.,MONPAKA VONGSA,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Audit Committee-AC,3.,WILAWAN TUMMACHART,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Audit Committee-AC,4.,THONGKAM MANASILAPAPAN,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Strategic&Risk Management Committee-SRC,1.,WARAPATR TODHANAKASEM,N/A,0 / 0,N/A,,
PRIN,2022,5,4,N/A,No,Meeting Attendance of Strategic&Risk Management Committee-SRC,2.,SIRILUCK KOVITCHINDACHAI,N/A,0 / 0,N/A,,
PRIN,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,1.,WARAPATR TODHANAKASEM,N/A,4 / 4,100.00,Yes,
PRIN,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,2.,SIRILUCK KOVITCHINDACHAI,N/A,4 / 4,100.00,Yes,
PRIN,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,3.,ANCHALEE PIPATANASERN,N/A,4 / 4,100.00,Yes,
PRIN,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,4.,MONPAKA VONGSA,N/A,3 / 4,75.00,Yes,
PRIN,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,5.,PRINYA KOVITCHINDACHAI,N/A,4 / 4,100.00,Yes,
PRIN,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,6.,NIRUT INTARATHACHANG,N/A,4 / 4,100.00,Yes,
PRIN,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,7.,ANUPHAN KITNITCHIVA,N/A,4 / 4,100.00,Yes,
PRIN,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,8.,THONGKAM MANASILAPAPAN,N/A,4 / 4,100.00,N/A,
