Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PRM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PRM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PRM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,BOWON VONGSINUDOM,N/A,16 / 16,100.00,Yes,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,NIBHON CHAGSUDULYA,N/A,16 / 16,100.00,Yes,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHAINOI PUANKOSOOM,N/A,16 / 16,100.00,Yes,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,SOMCHAI KUVIJITSUWAN,N/A,16 / 16,100.00,Yes,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,SURAPHON MEESATHIEN,N/A,16 / 16,100.00,Yes,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,PROMPONG CHAISRISAWATSUK,N/A,16 / 16,100.00,Yes,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,SURASAK CHAIYEN,N/A,16 / 16,100.00,Yes,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,NEERACHA PANBOONHOM,N/A,16 / 16,100.00,Yes,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of Audit Committee,1.,CHAINOI PUANKOSOOM,N/A,7 / 7,100.00,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMCHAI KUVIJITSUWAN,N/A,7 / 7,100.00,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of Audit Committee,3.,BOWON VONGSINUDOM,N/A,7 / 7,100.00,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of Executive Committee,1.,PROMPONG CHAISRISAWATSUK,N/A,N/A,N/A,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of Executive Committee,2.,Suthasinee  Muenlamay,N/A,N/A,N/A,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of Executive Committee,3.,SURASAK CHAIYEN,N/A,N/A,N/A,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of Executive Committee,4.,Wang Wei,N/A,N/A,N/A,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of Executive Committee,5.,Viritphol  Churaisin,N/A,N/A,N/A,,
PRM,2022,16,7,27/04/2022,No,"Meeting Attendance of The Nomination, Remuneration, Corporate Governance, and Sustainable Development Committee",1.,NIBHON CHAGSUDULYA,N/A,0 / 0,N/A,,
PRM,2022,16,7,27/04/2022,No,"Meeting Attendance of The Nomination, Remuneration, Corporate Governance, and Sustainable Development Committee",2.,CHAINOI PUANKOSOOM,N/A,0 / 0,N/A,,
PRM,2022,16,7,27/04/2022,No,"Meeting Attendance of The Nomination, Remuneration, Corporate Governance, and Sustainable Development Committee",3.,SOMCHAI KUVIJITSUWAN,N/A,0 / 0,N/A,,
PRM,2022,16,7,27/04/2022,No,"Meeting Attendance of The Nomination, Remuneration, Corporate Governance, and Sustainable Development Committee",4.,SURASAK CHAIYEN,N/A,0 / 0,N/A,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of The Risk Management Committee,1.,SURAPHON MEESATHIEN,N/A,0 / 0,N/A,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of The Risk Management Committee,2.,NIBHON CHAGSUDULYA,N/A,0 / 0,N/A,,
PRM,2022,16,7,27/04/2022,No,Meeting Attendance of The Risk Management Committee,3.,PROMPONG CHAISRISAWATSUK,N/A,0 / 0,N/A,,
PRM,2023,12,5,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,BOWON VONGSINUDOM,N/A,12 / 12,100.00,Yes,
PRM,2023,12,5,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,NIBHON CHAGSUDULYA,N/A,12 / 12,100.00,Yes,
PRM,2023,12,5,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,CHAINOI PUANKOSOOM,N/A,12 / 12,100.00,Yes,
PRM,2023,12,5,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,SOMCHAI KUVIJITSUWAN,N/A,12 / 12,100.00,Yes,
