Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PROS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PROS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PROS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,ASAWIN RAKMANUSA,N/A,4 / 4,100.00,Yes,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,Pongthep Ratanaseangsuang,N/A,4 / 4,100.00,Yes,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,PRAWIT LANCHAKORNKUL,N/A,4 / 4,100.00,Yes,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,WACHARAPOL RUJIREK,N/A,4 / 4,100.00,Yes,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,PRAJAK TANGJAI,N/A,4 / 4,100.00,Yes,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PONGPON RATTANASAENGSUANG,N/A,4 / 4,100.00,Yes,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,NARONG DECHATHANARUJIKORN,N/A,4 / 4,100.00,Yes,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,WICHAI MAITHONG,N/A,4 / 4,100.00,Yes,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of Audit Committee,1.,NARONG DECHATHANARUJIKORN,N/A,4 / 4,100.00,,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of Audit Committee,2.,WICHAI MAITHONG,N/A,4 / 4,100.00,,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of Audit Committee,3.,ASAWIN RAKMANUSA,N/A,4 / 4,100.00,,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of Executive Committee,1.,Pongthep Ratanaseangsuang,N/A,N/A,N/A,,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of Executive Committee,2.,PONGPON RATTANASAENGSUANG,N/A,N/A,N/A,,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of Executive Committee,3.,PRAWIT LANCHAKORNKUL,N/A,N/A,N/A,,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of Executive Committee,4.,WACHARAPOL RUJIREK,N/A,N/A,N/A,,
PROS,2022,4,4,21/04/2022,Yes,Meeting Attendance of Executive Committee,5.,PRAJAK TANGJAI,N/A,N/A,N/A,,
