Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PROUD,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PROUD,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PROUD,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,ANUWAT MAYTHEEWIBULWUT,N/A,5 / 5,100.00,Yes,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,VERAPONG CHAIPERM,N/A,0 / 5,0.00,No,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,PASU LIPTAPANLOP,N/A,5 / 5,100.00,Yes,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,PROUDPUTH LIPTAPANLOP,N/A,5 / 5,100.00,Yes,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,ANCHALEE BUNSONGSIKUL,N/A,5 / 5,100.00,Yes,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,ANUCHA SIHANATKATHAKUL,N/A,5 / 5,100.00,Yes,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,PUMIPAT SINACHAROEN,N/A,5 / 5,100.00,Yes,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,DAN SORNMANI,N/A,5 / 5,100.00,Yes,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of Audit Committee,1.,ANUWAT MAYTHEEWIBULWUT,N/A,4 / 4,100.00,,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of Audit Committee,2.,ANCHALEE BUNSONGSIKUL,N/A,4 / 4,100.00,,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of Audit Committee,3.,DAN SORNMANI,N/A,3 / 4,75.00,,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of Executive Committee,1.,PASU LIPTAPANLOP,N/A,N/A,N/A,,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of Executive Committee,2.,PROUDPUTH LIPTAPANLOP,N/A,N/A,N/A,,
PROUD,2022,5,N/A,28/04/2023,No,Meeting Attendance of Executive Committee,3.,PUMIPAT SINACHAROEN,N/A,N/A,N/A,,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,ANUWAT MAYTHEEWIBULWUT,N/A,7 / 7,100.00,Yes,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,PASU LIPTAPANLOP,N/A,7 / 7,100.00,Yes,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,PROUDPUTH LIPTAPANLOP,N/A,7 / 7,100.00,Yes,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,ANCHALEE BUNSONGSIKUL,N/A,6 / 7,85.71,Yes,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,ANUCHA SIHANATKATHAKUL,N/A,7 / 7,100.00,Yes,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,PUMIPAT SINACHAROEN,N/A,7 / 7,100.00,Yes,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,DAN SORNMANI,N/A,7 / 7,100.00,Yes,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,PITAK PRUITTISARIKORN,N/A,7 / 7,100.00,No,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,VERAPONG CHAIPERM,28/04/2023,0 / 3,0.00,No,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of Audit Committee,1.,ANUWAT MAYTHEEWIBULWUT,N/A,5 / 5,100.00,,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of Audit Committee,2.,ANCHALEE BUNSONGSIKUL,N/A,5 / 5,100.00,,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of Audit Committee,3.,DAN SORNMANI,N/A,5 / 5,100.00,,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of Executive Committee,1.,PASU LIPTAPANLOP,N/A,N/A,N/A,,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of Executive Committee,2.,PROUDPUTH LIPTAPANLOP,N/A,N/A,N/A,,
PROUD,2023,7,5,28/04/2023,Yes,Meeting Attendance of Executive Committee,3.,PUMIPAT SINACHAROEN,N/A,N/A,N/A,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,PROUDPUTH LIPTAPANLOP,N/A,7 / 7,100.00,1 / 1,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,ANUWAT MAYTHEEWIBULWUT,N/A,7 / 7,100.00,1 / 1,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,PASU LIPTAPANLOP,N/A,7 / 7,100.00,1 / 1,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,ANCHALEE BUNSONGSIKUL,N/A,6 / 7,85.71,1 / 1,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,ANUCHA SIHANATKATHAKUL,N/A,7 / 7,100.00,1 / 1,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,PUMIPAT SINACHAROEN,N/A,7 / 7,100.00,1 / 1,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,DAN SORNMANI,N/A,7 / 7,100.00,1 / 1,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of the Board of Directors,8.,PITAK PRUITTISARIKORN,N/A,7 / 7,100.00,1 / 1,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Audit Committee,1.,ANUWAT MAYTHEEWIBULWUT,N/A,5 / 5,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Audit Committee,2.,ANCHALEE BUNSONGSIKUL,N/A,5 / 5,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Audit Committee,3.,DAN SORNMANI,N/A,5 / 5,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Executive Committee,1.,PASU LIPTAPANLOP,N/A,15 / 15,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Executive Committee,2.,PROUDPUTH LIPTAPANLOP,N/A,15 / 15,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Executive Committee,3.,PUMIPAT SINACHAROEN,N/A,15 / 15,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Executive Committee,4.,PITAK PRUITTISARIKORN,N/A,15 / 15,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,1.,ANUWAT MAYTHEEWIBULWUT,N/A,1 / 1,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,2.,ANCHALEE BUNSONGSIKUL,N/A,1 / 1,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,3.,DAN SORNMANI,N/A,1 / 1,100.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,4.,PROUDPUTH LIPTAPANLOP,N/A,0 / 1,0.00,,
PROUD,2024,7,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,5.,PUMIPAT SINACHAROEN,N/A,0 / 1,0.00,,
