Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PRTR,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PRTR,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PRTR,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,Sukont  Kanjanahuttakit,N/A,8 / 8,100.00,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,Chan	 Ittithavorn,N/A,8 / 8,100.00,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,Niphon	  Bundechanan,N/A,8 / 8,100.00,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,Thunyachate 	 Ekvetchavit,N/A,7 / 8,87.50,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,Risara Charoenpanich,N/A,8 / 8,100.00,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,Narita  Adulkaewphaluek,N/A,8 / 8,100.00,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,Phukphong 	 Ratanaprapai,N/A,8 / 8,100.00,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,Onrudee  Kettawee,N/A,8 / 8,100.00,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,Luck 	 Dendee,N/A,8 / 8,100.00,Yes,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of Audit Committee,1.,Chan	 Ittithavorn,N/A,6 / 6,100.00,,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of Audit Committee,2.,Niphon	  Bundechanan,N/A,6 / 6,100.00,,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of Audit Committee,3.,Thunyachate 	 Ekvetchavit,N/A,5 / 6,83.33,,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of Executive Committee,1.,Risara Charoenpanich,N/A,N/A,N/A,,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of Executive Committee,2.,Luck 	 Dendee,N/A,N/A,N/A,,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of Executive Committee,3.,Onrudee  Kettawee,N/A,N/A,N/A,,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of Executive Committee,4.,Phukphong 	 Ratanaprapai,N/A,N/A,N/A,,
PRTR,2022,8,6,20/04/2022,Yes,Meeting Attendance of Executive Committee,5.,Narita  Adulkaewphaluek,N/A,N/A,N/A,,
