Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
PTL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PTL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PTL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PTL,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
PTL,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
PTL,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of the Board of Directors,1.,SANJIV SARAF,N/A,4 / 6,66.67,No,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of the Board of Directors,2.,MANU LEOPAIROTE,N/A,6 / 6,100.00,Yes,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of the Board of Directors,3.,SHIRAZ ERACH POONEVALA,N/A,4 / 6,66.67,Yes,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of the Board of Directors,4.,PRAPHAD PHODHIVORAKHUN,N/A,5 / 6,83.33,Yes,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of the Board of Directors,5.,RANJIT SINGH,N/A,2 / 6,33.33,Yes,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of the Board of Directors,6.,AMIT PRAKASH,N/A,6 / 6,100.00,Yes,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of the Board of Directors,7.,Iyad Malas,N/A,1 / 1,100.00,No,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of the Board of Directors,8.,SAKHI SARAF,09/11/2023,5 / 5,100.00,Yes,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of Audit Committee,1.,MANU LEOPAIROTE,N/A,4 / 4,100.00,,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of Audit Committee,2.,SHIRAZ ERACH POONEVALA,N/A,3 / 4,75.00,,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of Audit Committee,3.,PRAPHAD PHODHIVORAKHUN,N/A,3 / 4,75.00,,
PTL,2023,6,4,26/07/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SANJIV SARAF,N/A,4 / 5,80.00,0 / 1,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,MANU LEOPAIROTE,N/A,5 / 5,100.00,1 / 1,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,SHIRAZ ERACH POONEVALA,N/A,3 / 5,60.00,1 / 1,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,RANJIT SINGH,N/A,4 / 5,80.00,1 / 1,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,AMIT PRAKASH,N/A,5 / 5,100.00,1 / 1,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,IYAD MALAS,N/A,5 / 5,100.00,1 / 1,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,Pranay Kothari,N/A,5 / 5,100.00,1 / 1,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,Chavapas Ongmahutmongkol,N/A,0 / 0,N/A,0 / 0,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,PRAPHAD PHODHIVORAKHUN,27/05/2025,3 / 5,60.00,1 / 1,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,MANU LEOPAIROTE,N/A,4 / 4,100.00,,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,SHIRAZ ERACH POONEVALA,N/A,3 / 4,75.00,,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,PRAPHAD PHODHIVORAKHUN,N/A,2 / 4,50.00,,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,4.,PRAPHAD PHODHIVORAKHUN,27/05/2025,N/A,N/A,,
PTL,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
PTL,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
PTL,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
PTL,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
PTL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
PTL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
PTL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
