Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
RABBIT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
RABBIT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
RABBIT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,KEEREE KANJANAPAS,N/A,7 / 7,100.00,Yes,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,CHAIWAT ATSAWINTARANGKUN,N/A,7 / 7,100.00,Yes,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,SURAJIT GONGVATANA,N/A,6 / 7,85.71,Yes,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,KAVIN KANJANAPAS,N/A,7 / 7,100.00,Yes,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,PLAKORN WANGLEE,N/A,7 / 7,100.00,Yes,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,KONG CHI KEUNG,N/A,7 / 7,100.00,Yes,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,RUNGSON SRIWORASAT,N/A,7 / 7,100.00,Yes,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,SORAYA SATIANGOSET,N/A,7 / 7,100.00,N/A,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Audit Committee,1.,RUNGSON SRIWORASAT,N/A,6 / 6,100.00,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Audit Committee,2.,PLAKORN WANGLEE,N/A,6 / 6,100.00,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Audit Committee,3.,CHAIWAT ATSAWINTARANGKUN,N/A,6 / 6,100.00,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Executive Committee,1.,SURAJIT GONGVATANA,N/A,N/A,N/A,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Executive Committee,2.,SORAYA SATIANGOSET,N/A,N/A,N/A,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Executive Committee,3.,Veerapong  Rodjanawarodom,N/A,N/A,N/A,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Board of Nomination and Remuneration Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,0 / 0,N/A,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Board of Nomination and Remuneration Committee,2.,PLAKORN WANGLEE,N/A,0 / 0,N/A,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Board of Nomination and Remuneration Committee,3.,RUNGSON SRIWORASAT,N/A,0 / 0,N/A,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Executive Committee,1.,SURAJIT GONGVATANA,N/A,0 / 0,N/A,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Executive Committee,2.,SORAYA SATIANGOSET,N/A,0 / 0,N/A,,
RABBIT,2022,7,6,25/04/2022,Yes,Meeting Attendance of Executive Committee,3.,Veerapong  Rodjanawarodom,N/A,0 / 0,N/A,,
