Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
RBF,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
RBF,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
RBF,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,1.,BENJAWAN RATANAPRAYUL,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,2.,SOMCHAI RATANAPOOMPINYO,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,3.,PETCHARA RATANAPOOMPINYO,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,4.,RUT DANKUL,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUPPASIN SURIYA,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,6.,PADERMSAK JARAYABHAND,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,7.,AKIHIKO KISHI,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,8.,RITTIRONG BOONMECHOTE,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,9.,SURANART KITTIRATTANADETCH,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,10.,TEERAPAT YANATORNKUL,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,11.,JANJIDA RATANAPOOMPINYO,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of the Board of Directors,12.,SANATHORN RATANAPOOMPINYO,N/A,6 / 6,100.00,Yes,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of Audit Committee,1.,RUT DANKUL,N/A,4 / 4,100.00,,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of Audit Committee,2.,BENJAWAN RATANAPRAYUL,N/A,4 / 4,100.00,,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of Audit Committee,3.,SUPPASIN SURIYA,N/A,4 / 4,100.00,,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
RBF,2022,6,4,19/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,1.,RUT DANKUL,N/A,0 / 0,N/A,,
