Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ROCK,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ROCK,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ROCK,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHATCHAWAL PONGSUTHIMANUS,N/A,5 / 7,71.43,Yes,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,SURAPOCH SUWONPANICH,N/A,7 / 7,100.00,Yes,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,DUSDEE PONGSUTHIMANUS,N/A,7 / 7,100.00,Yes,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHAIRAT DEJKRAISAK,N/A,6 / 7,85.71,Yes,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,SURAPONG SITHANUKUL,N/A,7 / 7,100.00,Yes,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,MANOON SUNKUNAKORN,N/A,7 / 7,100.00,Yes,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHAIYONG PONGSUTHIMANUS,30/05/2022,3 / 7,42.86,Yes,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,SURAPOCH SUWONPANICH,N/A,4 / 4,100.00,,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,CHAIRAT DEJKRAISAK,N/A,4 / 4,100.00,,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,MANOON SUNKUNAKORN,N/A,4 / 4,100.00,,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of Executive Committee,1.,CHATCHAWAL PONGSUTHIMANUS,N/A,N/A,N/A,,
ROCK,2022,7,4,29/04/2022,No,Meeting Attendance of Executive Committee,2.,DUSDEE PONGSUTHIMANUS,N/A,N/A,N/A,,
