Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
S%26J,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
S%26J,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
S%26J,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,BOONKIET CHOKWATANA,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,TIPAPORN CHOKWATANA,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,THIRASAK VIKITSET,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,KAEWTA ONGSARANAKOM,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,ATTHAKORN GLANKWAMDEE,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRADITTHA CHONGWATTANA,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,MALYN UNGSURUNGSIE,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHITRAPORN VIKITSET,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,TEERADA AMBHANWONG,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,10.,PISMAI CHANDRUBEKSA,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,11.,APICHART PENGSRITONG,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,12.,SUTHEP DANSIRIVIROJ,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,13.,SOMCHAI PRABHASABHAKDI,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,14.,AMORN ASVANUNT,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of the Board of Directors,15.,PONGCHAI ATHIKOMRATTANAKUL,N/A,5 / 5,100.00,Yes,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Audit Committee,1.,AMORN ASVANUNT,N/A,7 / 7,100.00,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Audit Committee,2.,PRADITTHA CHONGWATTANA,N/A,7 / 7,100.00,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Audit Committee,3.,SOMCHAI PRABHASABHAKDI,N/A,7 / 7,100.00,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Audit Committee,4.,PONGCHAI ATHIKOMRATTANAKUL,N/A,7 / 7,100.00,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,1.,THIRASAK VIKITSET,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,2.,KAEWTA ONGSARANAKOM,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,3.,MALYN UNGSURUNGSIE,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,4.,CHITRAPORN VIKITSET,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,5.,Thongsuk Upathambhakul,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,6.,Praj Srichandra,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,7.,Patchara Pongwichan,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,8.,Kritsanarath Rassameesuriyan,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,9.,Sumit Khopaiboon,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,10.,Yarin Arayatanitkul,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of Executive Committee,11.,Daranee Ajjaneeyakul,N/A,N/A,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of The Nominating Committee,1.,BOONKIET CHOKWATANA,N/A,0 / 0,N/A,,
S%26J,2022,5,7,26/04/2022,No,Meeting Attendance of The Nominating Committee,2.,THIRASAK VIKITSET,N/A,0 / 0,N/A,,
