Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SALEE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SALEE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SALEE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,BUREERAT RATANAVANICH,N/A,4 / 4,100.00,Yes,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,SATHIT TATAWATORN,N/A,4 / 4,100.00,No,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,LERPONG WONGTHAWEEPIPAT,N/A,4 / 4,100.00,Yes,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,PAITOON LERTPENMAETHA,N/A,4 / 4,100.00,No,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,PATHANA ASSAVANIWEST,N/A,4 / 4,100.00,Yes,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUCHART CHIVAPORNTHIP,N/A,4 / 4,100.00,Yes,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUPOJ SOONTARINKA,N/A,4 / 4,100.00,Yes,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,PATTANACHART CHIVAPORNTHIP,N/A,2 / 3,66.67,Yes,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,SIRAPHAT TATAWATORN,N/A,3 / 3,100.00,No,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,10.,PIMPA CHIVAPORNTHIP,25/02/2022,1 / 1,100.00,No,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,PAITOON LERTPENMAETHA,N/A,4 / 4,100.00,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,PATHANA ASSAVANIWEST,N/A,4 / 4,100.00,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,BUREERAT RATANAVANICH,N/A,4 / 4,100.00,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,SATHIT TATAWATORN,N/A,N/A,N/A,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,2.,SUPOJ SOONTARINKA,N/A,N/A,N/A,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,3.,Takashi Otani,N/A,N/A,N/A,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination & Remuneration  Committee,1.,PATHANA ASSAVANIWEST,N/A,0 / 0,N/A,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination & Remuneration  Committee,2.,SUCHART CHIVAPORNTHIP,N/A,0 / 0,N/A,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination & Remuneration  Committee,3.,PAITOON LERTPENMAETHA,N/A,0 / 0,N/A,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SATHIT TATAWATORN,N/A,0 / 0,N/A,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,2.,SUPOJ SOONTARINKA,N/A,0 / 0,N/A,,
SALEE,2022,4,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Siriwan Panjamatum,N/A,0 / 0,N/A,,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,BUREERAT RATANAVANICH,N/A,4 / 4,100.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,SATHIT TATAWATORN,N/A,4 / 4,100.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,LERPONG WONGTHAWEEPIPAT,N/A,4 / 4,100.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,PAITOON LERTPENMAETHA,N/A,4 / 4,100.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,PATHANA ASSAVANIWEST,N/A,4 / 4,100.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,SUCHART CHIVAPORNTHIP,N/A,4 / 4,100.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,SUPOJ SOONTARINKA,N/A,4 / 4,100.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,PATTANACHART CHIVAPORNTHIP,N/A,3 / 4,75.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,9.,SIRAPHAT TATAWATORN,N/A,4 / 4,100.00,Yes,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,PAITOON LERTPENMAETHA,N/A,4 / 4,100.00,,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,PATHANA ASSAVANIWEST,N/A,4 / 4,100.00,,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,BUREERAT RATANAVANICH,N/A,4 / 4,100.00,,
SALEE,2023,4,4,26/04/2023,No,Meeting Attendance of Executive Committee,1.,SATHIT TATAWATORN,N/A,N/A,N/A,,
