Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SAWAD,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SAWAD,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SAWAD,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,SUKONT KANJANAHUTTAKIT,N/A,13 / 13,100.00,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,VINAI VITTAVASGARNVEJ,N/A,13 / 13,100.00,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,DOUNGCHAI KAEWBOOTTA,N/A,11 / 13,84.62,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PHARNU KERDLARPPHON,N/A,13 / 13,100.00,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,CHATCHAI KAEWBOOTTA,N/A,9 / 13,69.23,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,WEERACHAI NGAMDEEVILAISAK,N/A,11 / 13,84.62,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,SOMYOT NGERNDAMRONG,N/A,11 / 13,84.62,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,SUMATE MANEEWATTANA,N/A,12 / 13,92.31,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,PINIT PUAPAN,N/A,13 / 13,100.00,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,VEERA VEERAKOOL,N/A,13 / 13,100.00,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,TZUNG-HAN TSAI,N/A,12 / 13,92.31,No,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,12.,KUDUN SUKHUMANANDA,N/A,12 / 13,92.31,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,13.,WICHIT PHAYUHANAVEECHAI,N/A,13 / 13,100.00,Yes,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Audit Committee,1.,VINAI VITTAVASGARNVEJ,N/A,6 / 6,100.00,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Audit Committee,2.,PHARNU KERDLARPPHON,N/A,6 / 6,100.00,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Audit Committee,3.,WEERACHAI NGAMDEEVILAISAK,N/A,6 / 6,100.00,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Executive Committee,1.,CHATCHAI KAEWBOOTTA,N/A,N/A,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Executive Committee,2.,DOUNGCHAI KAEWBOOTTA,N/A,N/A,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Executive Committee,3.,WICHIT PHAYUHANAVEECHAI,N/A,N/A,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,PHARNU KERDLARPPHON,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,WEERACHAI NGAMDEEVILAISAK,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,CHATCHAI KAEWBOOTTA,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,1.,WEERACHAI NGAMDEEVILAISAK,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,2.,CHATCHAI KAEWBOOTTA,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,3.,WICHIT PHAYUHANAVEECHAI,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,4.,SOMYOT NGERNDAMRONG,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,5.,PHARNU KERDLARPPHON,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Corporate Governance and Sustainability Development Committee,1.,SUMATE MANEEWATTANA,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Corporate Governance and Sustainability Development Committee,2.,PINIT PUAPAN,N/A,0 / 0,N/A,,
SAWAD,2022,13,6,22/04/2022,Yes,Meeting Attendance of Corporate Governance and Sustainability Development Committee,3.,KUDUN SUKHUMANANDA,N/A,0 / 0,N/A,,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,VINAI VITTAVASGARNVEJ,N/A,13 / 13,100.00,Yes,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,CHATCHAI KAEWBOOTTA,N/A,11 / 13,84.62,Yes,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,PHARNU KERDLARPPHON,N/A,13 / 13,100.00,Yes,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,SUMATE MANEEWATTANA,N/A,13 / 13,100.00,Yes,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,PINIT PUAPAN,N/A,13 / 13,100.00,Yes,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,TZUNG-HAN TSAI,N/A,12 / 13,92.31,No,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,KUDUN SUKHUMANANDA,N/A,8 / 13,61.54,Yes,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,WICHIT PHAYUHANAVEECHAI,N/A,12 / 13,92.31,Yes,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,SUKONT KANJANAHUTTAKIT,21/04/2023,N/A,N/A,N/A,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,WEERACHAI NGAMDEEVILAISAK,21/04/2023,N/A,N/A,N/A,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,11.,DOUNGCHAI KAEWBOOTTA,21/04/2023,N/A,N/A,N/A,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,12.,VEERA VEERAKOOL,21/04/2023,N/A,N/A,N/A,
SAWAD,2023,13,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,13.,SOMYOT NGERNDAMRONG,21/04/2023,N/A,N/A,N/A,
