Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SAWANG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SAWANG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SAWANG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,MORAKOT MANEEPAIROJ,N/A,6 / 6,100.00,Yes,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,POMMANEE MANEEPAIROJ,N/A,6 / 6,100.00,Yes,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,PAETAI MANEEPAIROJ,N/A,6 / 6,100.00,Yes,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,APIRAPORN VASAVAKUL,N/A,6 / 6,100.00,No,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,RATANAPORN CHUNHARAS,N/A,6 / 6,100.00,No,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,TONGCHAI SAENGRATTANADEJ,N/A,6 / 6,100.00,Yes,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,MANIT PONGSAKORNKULLACHART,N/A,6 / 6,100.00,Yes,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,RATANAPORN CHUNHARAS,N/A,4 / 4,100.00,,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,APIRAPORN VASAVAKUL,N/A,4 / 4,100.00,,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,TONGCHAI SAENGRATTANADEJ,N/A,4 / 4,100.00,,
SAWANG,2022,6,4,29/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,MORAKOT MANEEPAIROJ,N/A,8 / 8,100.00,Yes,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,POMMANEE MANEEPAIROJ,N/A,8 / 8,100.00,Yes,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,PAETAI MANEEPAIROJ,N/A,8 / 8,100.00,Yes,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,APIRAPORN VASAVAKUL,N/A,8 / 8,100.00,Yes,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,RATANAPORN CHUNHARAS,N/A,8 / 8,100.00,No,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,TONGCHAI SAENGRATTANADEJ,N/A,8 / 8,100.00,No,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,MANIT PONGSAKORNKULLACHART,N/A,8 / 8,100.00,No,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of Audit Committee,1.,RATANAPORN CHUNHARAS,N/A,4 / 4,100.00,,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of Audit Committee,2.,APIRAPORN VASAVAKUL,N/A,4 / 4,100.00,,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of Audit Committee,3.,TONGCHAI SAENGRATTANADEJ,N/A,4 / 4,100.00,,
SAWANG,2023,8,N/A,24/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,1.,MORAKOT MANEEPAIROJ,N/A,7 / 7,100.00,1 / 1,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,2.,POMMANEE MANEEPAIROJ,N/A,7 / 7,100.00,1 / 1,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,3.,PAETAI MANEEPAIROJ,N/A,7 / 7,100.00,1 / 1,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,4.,APIRAPORN VASAVAKUL,N/A,7 / 7,100.00,1 / 1,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,5.,RATANAPORN CHUNHARAS,N/A,7 / 7,100.00,1 / 1,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,6.,TONGCHAI SAENGRATTANADEJ,N/A,7 / 7,100.00,1 / 1,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,7.,MANIT PONGSAKORNKULLACHART,N/A,7 / 7,100.00,1 / 1,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of Audit Committee,1.,RATANAPORN CHUNHARAS,N/A,4 / 4,100.00,,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of Audit Committee,2.,APIRAPORN VASAVAKUL,N/A,4 / 4,100.00,,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of Audit Committee,3.,TONGCHAI SAENGRATTANADEJ,N/A,4 / 4,100.00,,
SAWANG,2024,7,4,29/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SAWANG,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SAWANG,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SAWANG,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SAWANG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
SAWANG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
SAWANG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
