Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SCB,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SCB,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SCB,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,1.,VICHIT SURAPHONGCHAI,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,2.,THAWEESAK KOANANTAKOOL,N/A,15 / 16,93.75,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,3.,KAN TRAKULHOON,N/A,15 / 16,93.75,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,4.,PAILIN CHUCHOTTAWORN,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,5.,PANTIP SRIPIMOL,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,6.,SATITPONG SUKVIMOL,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,7.,ARTHID NANTHAWITHAYA,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,8.,JAREEPORN JARUKORNSAKUL,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,9.,PRASAN CHUAPHANICH,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,10.,THUMNITHI WANICHTHANOM,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,11.,APISAK TANTIVORAWONG,N/A,10 / 11,90.91,No,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,12.,CHAIRAT PANTHURAAMPHORN,N/A,11 / 11,100.00,No,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,13.,WINID SILAMONGKOL,N/A,11 / 11,100.00,No,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,14.,WEERAWONG CHITTMITTRAPAP,N/A,16 / 16,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,15.,KULPATRA SIRODOM,N/A,8 / 8,100.00,No,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,16.,NUNTAWAN SAKUNTANAGA,N/A,8 / 8,100.00,No,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,17.,CHAOVALIT EKABUT,01/06/2022,8 / 8,100.00,Yes,
SCB,2022,16,12,12/04/2022,No,Meeting Attendance of the Board of Directors,18.,CHAKKRIT PARAPUNTAKUL,01/06/2022,8 / 8,100.00,Yes,
