Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SCCC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SCCC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SCCC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,1.,Paul Heinz  Hugentobler,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,2.,Vanchai  Tosomboon,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,3.,Nopporn  Tirawattanagool,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,4.,Stephen Patrick  Gore,N/A,7 / 8,87.50,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,5.,Subhak  Siwaraksa,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,6.,Sunee  Sornchaitanasuk,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,7.,Charin  Satchayan,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,8.,ROBBERT EGBERT JOHANNES VAN DER FELTZ VAN DER SLOOT,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,9.,AIDAN JOHN LYNAM,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,10.,SIVA MAHASANDANA,N/A,8 / 8,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,11.,TINNAWAT MAHATHARADOL,N/A,6 / 6,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of the Board of Directors,12.,ONNE  VAN DER WEIJDE,N/A,6 / 6,100.00,Yes,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Audit Committee,1.,Sunee  Sornchaitanasuk,N/A,11 / 11,100.00,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Audit Committee,2.,Charin  Satchayan,N/A,11 / 11,100.00,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Audit Committee,3.,ONNE  VAN DER WEIJDE,N/A,9 / 9,100.00,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Audit Committee,4.,ROBBERT EGBERT JOHANNES VAN DER FELTZ VAN DER SLOOT,24/03/2022,2 / 2,100.00,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Normination and Compensation Committee,1.,Paul Heinz  Hugentobler,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Normination and Compensation Committee,2.,Vanchai  Tosomboon,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Normination and Compensation Committee,3.,Stephen Patrick  Gore,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Normination and Compensation Committee,4.,Robbert Egbert Johannes  van der Feltz van der Sloot,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Normination and Compensation Committee,5.,TINNAWAT MAHATHARADOL,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Governnace Committee,1.,Charin  Satchayan,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Governnace Committee,2.,Subhak  Siwaraksa,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Governnace Committee,3.,Phatchada Muenthong,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Audit Committee,1.,Sunee  Sornchaitanasuk,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Audit Committee,2.,Charin  Satchayan,N/A,0 / 0,N/A,,
SCCC,2022,8,11,24/03/2022,No,Meeting Attendance of Audit Committee,3.,ONNE  VAN DER WEIJDE,N/A,0 / 0,N/A,,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,1.,PAUL HEINZ HUGENTOBLER,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,2.,VANCHAI TOSOMBOON,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,3.,NOPPORN TIRAWATTANAGOOL,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,4.,TINNAWAT MAHATHARADOL,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,5.,STEPHEN PATRICK GORE,N/A,4 / 7,57.14,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,6.,SUBHAK SIWARAKSA,N/A,7 / 7,100.00,No,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,7.,SIVA MAHASANDANA,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,8.,SUNEE SORNCHAITANASUK,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,9.,CHARIN SATCHAYAN,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,10.,ROBBERT EGBERT JOHANNES  VAN DER FELTZ VAN DER SLOOT,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,11.,Onne van der Weijde,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of the Board of Directors,12.,AIDAN JOHN LYNAM,N/A,7 / 7,100.00,Yes,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of Audit Committee,1.,SUNEE SORNCHAITANASUK,N/A,11 / 11,100.00,,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of Audit Committee,2.,CHARIN SATCHAYAN,N/A,11 / 11,100.00,,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of Audit Committee,3.,Onne van der Weijde,N/A,11 / 11,100.00,,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCCC,2023,7,11,31/03/2023,No,Meeting Attendance of Normonation and Compensation Committee,1.,PAUL HEINZ HUGENTOBLER,N/A,0 / 0,N/A,,
