Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SCC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SCC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SCC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,1.,SATITPONG SUKVIMOL,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,2.,CHUMPOL NALAMLIENG,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,3.,KAN TRAKULHOON,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,4.,ROONGROTE RANGSIYOPASH,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,5.,KASEM WATANACHAI,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,6.,THUMNITHI WANICHTHANOM,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,7.,PASU DECHARIN,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,8.,PARNSIREE AMATAYAKUL,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,9.,PRASARN TRAIRATVORAKUL,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,10.,THAPANA SIRIVADHANABHAKDI,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,11.,CHOLANAT YANARANOP,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,12.,SUPHACHAI CHEARAVANONT,N/A,6 / 6,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,13.,JAREEPORN JARUKORNSAKUL,N/A,6 / 6,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,14.,NUNTAWAN SAKUNTANAGA,N/A,6 / 6,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,15.,SOMCHAI KANCHANAMANEE,N/A,8 / 8,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of the Board of Directors,16.,TARISA WATANAGASE,30/03/2022,2 / 2,100.00,N/A,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Audit Committee,1.,PASU DECHARIN,N/A,9 / 9,100.00,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Audit Committee,2.,PARNSIREE AMATAYAKUL,N/A,9 / 9,100.00,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Audit Committee,3.,NUNTAWAN SAKUNTANAGA,N/A,8 / 8,100.00,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Audit Committee,4.,TARISA WATANAGASE,30/03/2022,1 / 1,100.00,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Governance and Nomination Committee,1.,CHUMPOL NALAMLIENG,N/A,0 / 0,N/A,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Governance and Nomination Committee,2.,JAREEPORN JARUKORNSAKUL,N/A,0 / 0,N/A,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Governance and Nomination Committee,3.,PASU DECHARIN,N/A,0 / 0,N/A,,
SCC,2022,8,9,30/03/2022,No,Meeting Attendance of Governance and Nomination Committee,4.,SUPHACHAI CHEARAVANONT,N/A,0 / 0,N/A,,
