Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SCGD,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SCGD,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SCGD,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCGD,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SCGD,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SCGD,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCGD,2023,11,6,28/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,ROONGROTE RANGSIYOPASH,N/A,11 / 11,100.00,Yes,
SCGD,2023,11,6,28/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,LUCKSANANOI PUNKRASAMEE,N/A,9 / 9,100.00,Yes,
SCGD,2023,11,6,28/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,NITHI PATARACHOKE,N/A,11 / 11,100.00,Yes,
SCGD,2023,11,6,28/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,THAMMASAK SETHAUDOM,N/A,11 / 11,100.00,Yes,
SCGD,2023,11,6,28/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,WIROAT RATTANACHAISIT,N/A,10 / 11,90.91,Yes,
SCGD,2023,11,6,28/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,CHAOVALIT EKABUT,N/A,9 / 9,100.00,Yes,
SCGD,2023,11,6,28/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,NUMPOL MALICHAI,N/A,9 / 9,100.00,Yes,
SCGD,2023,11,6,28/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,SIRIVIPA SUPANTANET,N/A,9 / 9,100.00,Yes,
