Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SCM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SCM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SCM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,NARONGRIT TAVORNVISITPORN,N/A,4 / 4,100.00,Yes,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,SITTHAWEE KRIATCHAWANUN,N/A,4 / 4,100.00,Yes,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,NOPPAKRIT NITHILERTVIJIT,N/A,3 / 4,75.00,Yes,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,KAMONTHIP KRIATCHAWANUN,N/A,4 / 4,100.00,Yes,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,KANYARAT SANORAN,N/A,4 / 4,100.00,Yes,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,SAHASAK SRISARNPARNK,N/A,4 / 4,100.00,No,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,WIJIT TECHAKASEM,N/A,4 / 4,100.00,Yes,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,KANYARAT SANORAN,N/A,4 / 4,100.00,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,NARONGRIT TAVORNVISITPORN,N/A,4 / 4,100.00,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,SAHASAK SRISARNPARNK,N/A,4 / 4,100.00,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,SITTHAWEE KRIATCHAWANUN,N/A,N/A,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,2.,NOPPAKRIT NITHILERTVIJIT,N/A,N/A,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,3.,Nitchakul Kongphawitthakul,N/A,N/A,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SAHASAK SRISARNPARNK,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KANYARAT SANORAN,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,NOPPAKRIT NITHILERTVIJIT,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,1.,NOPPAKRIT NITHILERTVIJIT,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,2.,KANYARAT SANORAN,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,3.,WIJIT TECHAKASEM,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,NARONGRIT TAVORNVISITPORN,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,SITTHAWEE KRIATCHAWANUN,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,NOPPAKRIT NITHILERTVIJIT,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,KANYARAT SANORAN,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,SAHASAK SRISARNPARNK,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,6.,WIJIT TECHAKASEM,N/A,0 / 0,N/A,,
SCM,2022,4,4,26/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,7.,KAMONTHIP KRIATCHAWANUN,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,NARONGRIT TAVORNVISITPORN,N/A,5 / 5,100.00,Yes,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,SITTHAWEE KRIATCHAWANUN,N/A,5 / 5,100.00,Yes,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,NOPPAKRIT NITHILERTVIJIT,N/A,5 / 5,100.00,Yes,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,KAMONTHIP KRIATCHAWANUN,N/A,5 / 5,100.00,Yes,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,KANYARAT SANORAN,N/A,5 / 5,100.00,Yes,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,SAHASAK SRISARNPARNK,N/A,5 / 5,100.00,Yes,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,WIJIT TECHAKASEM,N/A,5 / 5,100.00,Yes,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Audit Committee,1.,KANYARAT SANORAN,N/A,4 / 4,100.00,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Audit Committee,2.,NARONGRIT TAVORNVISITPORN,N/A,4 / 4,100.00,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Audit Committee,3.,SAHASAK SRISARNPARNK,N/A,4 / 4,100.00,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Executive Committee,1.,SITTHAWEE KRIATCHAWANUN,N/A,N/A,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Executive Committee,2.,NOPPAKRIT NITHILERTVIJIT,N/A,N/A,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Executive Committee,3.,Nitchakul Kongphawitthakul,N/A,N/A,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,SAHASAK SRISARNPARNK,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,KANYARAT SANORAN,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,NOPPAKRIT NITHILERTVIJIT,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Risk Management Committee,1.,NOPPAKRIT NITHILERTVIJIT,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Risk Management Committee,2.,KANYARAT SANORAN,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Risk Management Committee,3.,WIJIT TECHAKASEM,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,NARONGRIT TAVORNVISITPORN,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,SITTHAWEE KRIATCHAWANUN,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,NOPPAKRIT NITHILERTVIJIT,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,KANYARAT SANORAN,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,SAHASAK SRISARNPARNK,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,6.,WIJIT TECHAKASEM,N/A,0 / 0,N/A,,
SCM,2023,5,4,27/04/2023,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,7.,KAMONTHIP KRIATCHAWANUN,N/A,0 / 0,N/A,,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,NARONGRIT TAVORNVISITPORN,N/A,5 / 5,100.00,1 / 1,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,SITTHAWEE KRIATCHAWANUN,N/A,5 / 5,100.00,1 / 1,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,NOPPAKRIT NITHILERTVIJIT,N/A,5 / 5,100.00,1 / 1,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,4.,KAMONTHIP KRIATCHAWANUN,N/A,5 / 5,100.00,1 / 1,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,5.,KANYARAT SANORAN,N/A,5 / 5,100.00,1 / 1,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,6.,SAHASAK SRISARNPARNK,N/A,5 / 5,100.00,1 / 1,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of the Board of Directors,7.,WIJIT TECHAKASEM,N/A,4 / 5,80.00,1 / 1,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of Audit Committee,1.,KANYARAT SANORAN,N/A,4 / 4,100.00,,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of Audit Committee,2.,NARONGRIT TAVORNVISITPORN,N/A,4 / 4,100.00,,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of Audit Committee,3.,SAHASAK SRISARNPARNK,N/A,4 / 4,100.00,,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of Executive Committee,1.,SITTHAWEE KRIATCHAWANUN,N/A,12 / 12,100.00,,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of Executive Committee,2.,NOPPAKRIT NITHILERTVIJIT,N/A,12 / 12,100.00,,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of Executive Committee,3.,Nitchakul Kongphawitthakul,N/A,12 / 12,100.00,,
SCM,2024,5,4,25/04/2024,No,Meeting Attendance of Executive Committee,4.,Suchart Thanathitiphan,N/A,10 / 10,100.00,,
