Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SENA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SENA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SENA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,VICHIEN RATANABIRABONGSE,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,BENYALAK THANYALAKPARK,N/A,7 / 8,87.50,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,KESSARA THANYALAKPARK,N/A,6 / 8,75.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,WEERAPORN CHAISIRIYASAVAT,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,CHAIYOS HEMARAJATA,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,KAMOL THAMMANICHANOND,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,THEERAWAT THANYALAKPHARK,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,UMAPORN TANYALAKPARK,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,AJIRAVID SUBARNBHESAJ,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,SAMMA KITSIN,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,WORAVIT CHAILIMPAMONTRI,N/A,8 / 8,100.00,Yes,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Audit Committee,1.,CHAIYOS HEMARAJATA,N/A,5 / 5,100.00,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Audit Committee,2.,KAMOL THAMMANICHANOND,N/A,5 / 5,100.00,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Audit Committee,3.,WORAVIT CHAILIMPAMONTRI,N/A,5 / 5,100.00,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Executive Committee,1.,THEERAWAT THANYALAKPHARK,N/A,N/A,N/A,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Executive Committee,2.,BENYALAK THANYALAKPARK,N/A,N/A,N/A,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Executive Committee,3.,KESSARA THANYALAKPARK,N/A,N/A,N/A,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Executive Committee,4.,WEERAPORN CHAISIRIYASAVAT,N/A,N/A,N/A,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Executive Committee,5.,Pathomporn  Tiranasawasdi,N/A,N/A,N/A,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Audit Committee,1.,CHAIYOS HEMARAJATA,N/A,0 / 0,N/A,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Audit Committee,2.,KAMOL THAMMANICHANOND,N/A,0 / 0,N/A,,
SENA,2022,8,5,26/04/2022,Yes,Meeting Attendance of Audit Committee,3.,WORAVIT CHAILIMPAMONTRI,N/A,0 / 0,N/A,,
