Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SGC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SGC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SGC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SGC,2022,8,4,N/A,No,Meeting Attendance of the Board of Directors,1.,BIBIT BIJAISORADAT,N/A,8 / 8,100.00,Yes,
SGC,2022,8,4,N/A,No,Meeting Attendance of the Board of Directors,2.,KITTIPONG KANOKVILAIRAT,N/A,8 / 8,100.00,Yes,
SGC,2022,8,4,N/A,No,Meeting Attendance of the Board of Directors,3.,SURANIT SORASUCHART,N/A,8 / 8,100.00,Yes,
SGC,2022,8,4,N/A,No,Meeting Attendance of the Board of Directors,4.,PIRANART CHOKWATANA,N/A,8 / 8,100.00,Yes,
SGC,2022,8,4,N/A,No,Meeting Attendance of the Board of Directors,5.,PONGSAK ACHAKULWISUT,N/A,8 / 8,100.00,Yes,
SGC,2022,8,4,N/A,No,Meeting Attendance of the Board of Directors,6.,PISIT PUAPAN,N/A,8 / 8,100.00,Yes,
SGC,2022,8,4,N/A,No,Meeting Attendance of Audit Committee,1.,SURANIT SORASUCHART,N/A,4 / 4,100.00,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Audit Committee,2.,PONGSAK ACHAKULWISUT,N/A,4 / 4,100.00,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Audit Committee,3.,PISIT PUAPAN,N/A,4 / 4,100.00,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Executive Committee,1.,KITTIPONG KANOKVILAIRAT,N/A,N/A,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Executive Committee,2.,Jatuporn Konghun,N/A,N/A,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Executive Committee,3.,Noppadol Sangpratoom,N/A,N/A,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Executive Committee,4.,Auntikorn Pichetkorn,N/A,N/A,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Executive Committee,5.,Kanarat Ittipuvadol,N/A,N/A,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Executive Committee,6.,Phanuwat Loiphetch,N/A,N/A,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Executive Committee,7.,Wilairat Poonsawat,N/A,N/A,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Risk Management Committee,1.,PONGSAK ACHAKULWISUT,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Risk Management Committee,2.,PISIT PUAPAN,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Risk Management Committee,3.,Jatuporn Konghun,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Risk Management Committee,4.,Songkrit Rukngarm,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,"Meeting Attendance of Nomination, Remuneration and Governance Committee",1.,BIBIT BIJAISORADAT,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,"Meeting Attendance of Nomination, Remuneration and Governance Committee",2.,PONGSAK ACHAKULWISUT,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,"Meeting Attendance of Nomination, Remuneration and Governance Committee",3.,KITTIPONG KANOKVILAIRAT,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Sustainability Committee,1.,SURANIT SORASUCHART,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Sustainability Committee,2.,Jatuporn Konghun,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Sustainability Committee,3.,Thatcharit Akkayakorn,N/A,0 / 0,N/A,,
SGC,2022,8,4,N/A,No,Meeting Attendance of Sustainability Committee,4.,Yuthtaya Sangnak,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,Bibit  Bijaisoradat,N/A,13 / 13,100.00,No,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,Suranit  Sorasuchart,N/A,13 / 13,100.00,Yes,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,Pongsak  Achakulwisut,N/A,13 / 13,100.00,Yes,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,Piranart  Chokwatana,N/A,13 / 13,100.00,Yes,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,Pisit  Puapan,N/A,13 / 13,100.00,Yes,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,Anothai  Sritiapetch,N/A,5 / 5,100.00,Yes,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,Narathip  Wirunechatapant,N/A,5 / 5,100.00,No,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,KITTIPONG KANOKVILAIRAT,30/04/2023,8 / 8,100.00,Yes,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,BUSABA KUNSIRITHAM,17/02/2023,2 / 2,100.00,No,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,RAKKITI TANGLAMLERT,30/04/2023,0 / 0,N/A,Yes,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Audit Committee,1.,Suranit  Sorasuchart,N/A,7 / 7,100.00,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Audit Committee,2.,Pongsak  Achakulwisut,N/A,7 / 7,100.00,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Audit Committee,3.,Pisit  Puapan,N/A,7 / 7,100.00,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,1.,Jatuporn Konghun,N/A,N/A,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,2.,Noppadol Sangpratoom,N/A,N/A,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,3.,Narathip  Wirunechatapant,N/A,N/A,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,4.,Anothai  Sritiapetch,N/A,N/A,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,5.,Assawatep  Krainara,N/A,N/A,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,6.,KITTIPONG KANOKVILAIRAT,30/04/2023,N/A,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,7.,BUSABA KUNSIRITHAM,17/02/2023,N/A,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,Bibit  Bijaisoradat,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,Pongsak  Achakulwisut,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,Narathip  Wirunechatapant,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Risk Management Committee,1.,Pongsak  Achakulwisut,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Risk Management Committee,2.,Pisit  Puapan,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Risk Management Committee,3.,Anothai  Sritiapetch,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Risk Management Committee,4.,Jatuporn Konghun,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,1.,Narathip  Wirunechatapant,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,2.,Anothai  Sritiapetch,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,3.,Jatuporn Konghun,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,4.,Noppadol Sangpratoom,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,Meeting Attendance of Executive Committee,5.,Assawatep  Krainara,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,"Meeting Attendance of  Environment, Social and Governance (ESG) Committee",1.,Suranit  Sorasuchart,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,"Meeting Attendance of  Environment, Social and Governance (ESG) Committee",2.,Anothai  Sritiapetch,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,"Meeting Attendance of  Environment, Social and Governance (ESG) Committee",3.,Jatuporn Konghun,N/A,0 / 0,N/A,,
SGC,2023,13,7,20/04/2023,Yes,"Meeting Attendance of  Environment, Social and Governance (ESG) Committee",4.,Noppadol Sangpratoom,N/A,0 / 0,N/A,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,Bibit  Bijaisoradat,N/A,9 / 10,90.00,1 / 1,1 / 1
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,Suranit  Sorasuchart,N/A,10 / 10,100.00,1 / 1,1 / 1
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,PIRANART CHOKWATANA,N/A,10 / 10,100.00,1 / 1,1 / 1
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,Pongsak  Achakulwisut,N/A,10 / 10,100.00,1 / 1,1 / 1
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,Pisit  Puapan,N/A,10 / 10,100.00,1 / 1,1 / 1
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of the Board of Directors,6.,Anothai  Sritiapetch,N/A,10 / 10,100.00,1 / 1,1 / 1
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of the Board of Directors,7.,Narathip  Wirunechatapant,N/A,10 / 10,100.00,1 / 1,1 / 1
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Audit Committee,1.,Suranit  Sorasuchart,N/A,7 / 7,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Audit Committee,2.,Pongsak  Achakulwisut,N/A,7 / 7,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Audit Committee,3.,Pisit  Puapan,N/A,7 / 7,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Executive Committee,1.,Jatuporn Konghun,N/A,13 / 14,92.86,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Executive Committee,2.,Noppadol Sangpratoom,N/A,13 / 14,92.86,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Executive Committee,3.,Narathip  Wirunechatapant,N/A,14 / 14,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Executive Committee,4.,Anothai  Sritiapetch,N/A,14 / 14,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Executive Committee,5.,Assawatep  Krainara,N/A,14 / 14,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Executive Committee,6.,Nattaya  Uppamaame,N/A,13 / 14,92.86,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,Bibit  Bijaisoradat,N/A,4 / 4,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,Pongsak  Achakulwisut,N/A,4 / 4,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,Narathip  Wirunechatapant,N/A,4 / 4,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Risk Management Committee,1.,Pongsak  Achakulwisut,N/A,12 / 12,100.00,,
SGC,2024,10,7,18/04/2024,Yes,Meeting Attendance of Risk Management Committee,2.,Pisit  Puapan,N/A,11 / 12,91.67,,
