Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SGP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SGP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SGP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,WORAWIT WEERABORWORNPONG,N/A,5 / 5,100.00,Yes,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,PATCHARA WEERABORWORNPONG,N/A,4 / 4,100.00,Yes,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,SUPACHAI WEERABORWORNPONG,N/A,6 / 6,100.00,Yes,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUDJIT DIVARI,N/A,5 / 5,100.00,Yes,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,VIROJ KLANGBOONKRONG,N/A,5 / 5,100.00,Yes,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,HARN CHIOCHARN,N/A,5 / 5,100.00,Yes,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,SOMCHAI KO-PRASOBSUK,N/A,4 / 4,100.00,Yes,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,PATCHARAWADEE WEERABORWORNPONG,N/A,4 / 4,100.00,Yes,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Audit Committee,1.,VIROJ KLANGBOONKRONG,N/A,16 / 16,100.00,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Audit Committee,2.,SUDJIT DIVARI,N/A,16 / 16,100.00,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Audit Committee,3.,HARN CHIOCHARN,N/A,16 / 16,100.00,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Executive Committee,1.,WORAWIT WEERABORWORNPONG,N/A,N/A,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Executive Committee,2.,PATCHARA WEERABORWORNPONG,N/A,N/A,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Executive Committee,3.,SUPACHAI WEERABORWORNPONG,N/A,N/A,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Executive Committee,4.,PATCHARAWADEE WEERABORWORNPONG,N/A,N/A,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,WORAWIT WEERABORWORNPONG,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SUPACHAI WEERABORWORNPONG,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,VIROJ KLANGBOONKRONG,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,SUPACHAI WEERABORWORNPONG,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,HARN CHIOCHARN,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,SUDJIT DIVARI,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SUPACHAI WEERABORWORNPONG,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Risk Management Committee,2.,Jintana Kingkaew,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Anuwat Poosuntipong,N/A,0 / 0,N/A,,
SGP,2022,6,16,22/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Winai Krajangyao,N/A,0 / 0,N/A,,
