Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SHANG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SHANG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SHANG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,MARIS PAKDEETAVEEVIVAT,N/A,6 / 6,100.00,No,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHANIDA ASDATHORN,N/A,4 / 6,66.67,Yes,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMKIAT ASADATHORN,N/A,6 / 6,100.00,Yes,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,SURIN ASDATHORN,N/A,5 / 6,83.33,No,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,JAYAVADH BUNNAG,N/A,6 / 6,100.00,Yes,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,KLEDCHAI BENJAATHONSIRIKUL,N/A,6 / 6,100.00,No,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,KOVIT POSHYANANDA,N/A,6 / 6,100.00,No,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,PAVINEE MEENSUK,N/A,6 / 6,100.00,Yes,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,KONG LEONG CHAN,N/A,6 / 6,100.00,No,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,SUPOT SINGHASANEH,N/A,1 / 1,100.00,No,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,Hui Yeow Lee,N/A,6 / 6,100.00,No,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of the Board of Directors,12.,CHOR.NUN PETPAISIT,14/11/2022,4 / 5,80.00,Yes,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of Audit Committee,1.,KOVIT POSHYANANDA,N/A,4 / 4,100.00,,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of Audit Committee,2.,KLEDCHAI BENJAATHONSIRIKUL,N/A,4 / 4,100.00,,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of Audit Committee,3.,JAYAVADH BUNNAG,N/A,4 / 4,100.00,,
SHANG,2022,6,4,28/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,MARIS PAKDEETAVEEVIVAT,N/A,5 / 5,100.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHANIDA ASDATHORN,N/A,5 / 5,100.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,SURIN ASDATHORN,N/A,5 / 5,100.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,JAYAVADH BUNNAG,N/A,5 / 5,100.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,KLEDCHAI BENJAATHONSIRIKUL,N/A,4 / 5,80.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,KOVIT POSHYANANDA,N/A,4 / 5,80.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,PAVINEE MEENSUK,N/A,5 / 5,100.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,SUPOT SINGHASANEH,N/A,4 / 5,80.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,9.,HOI FAI ALFRED WU,N/A,3 / 3,100.00,No,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,10.,NUTTHAPOL ASADATHORN,N/A,4 / 4,100.00,Yes,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,11.,KONG LEONG CHAN,31/12/2023,5 / 5,100.00,No,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,12.,HUI YEOW LEE,27/04/2023,2 / 2,100.00,No,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,13.,SOMKIAT ASADATHORN,20/02/2023,0 / 0,N/A,No,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of Audit Committee,1.,KOVIT POSHYANANDA,N/A,4 / 4,100.00,,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of Audit Committee,2.,KLEDCHAI BENJAATHONSIRIKUL,N/A,4 / 4,100.00,,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of Audit Committee,3.,JAYAVADH BUNNAG,N/A,4 / 4,100.00,,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of Audit Committee,4.,SUPOT SINGHASANEH,N/A,0 / 0,N/A,,
SHANG,2023,5,4,27/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SHANG,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,1.,MARIS PAKDEETAVEEVIVAT,N/A,4 / 4,100.00,1 / 1,
SHANG,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHANIDA ASDATHORN,N/A,4 / 4,100.00,1 / 1,
SHANG,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,3.,SURIN ASDATHORN,N/A,4 / 4,100.00,0 / 1,
SHANG,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,4.,JAYAVADH BUNNAG,N/A,4 / 4,100.00,1 / 1,
SHANG,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,5.,KLEDCHAI BENJAATHONSIRIKUL,N/A,4 / 4,100.00,1 / 1,
SHANG,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,6.,PAVINEE MEENSUK,N/A,4 / 4,100.00,1 / 1,
SHANG,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,7.,SUPOT SINGHASANEH,N/A,4 / 4,100.00,1 / 1,
SHANG,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,8.,NUTTHAPOL ASADATHORN,N/A,4 / 4,100.00,1 / 1,
