Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SIRI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SIRI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SIRI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,APICHART CHUTRAKUL,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,JESADAVAT PRIEBJRIVAT,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,SRETTHA THAVISIN,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,WANCHAK BURANASIRI,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,PORNTAT AMATAVIVADHANA,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,THONGCHAI JIRA-ALONGKORN,N/A,9 / 10,90.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUPANIT CHAIYAWAT,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,KITTICHAI RAKTAKANIT,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,VICHAYA CHATIKAVANIJ,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,10.,UTHAI UTHAISANGSUK,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,11.,SUPAKORN VEJJAJIVA,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of the Board of Directors,12.,WEERANANT CHUENSUWAN,N/A,10 / 10,100.00,Yes,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Audit Committee,1.,JESADAVAT PRIEBJRIVAT,N/A,6 / 6,100.00,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Audit Committee,2.,SUPANIT CHAIYAWAT,N/A,6 / 6,100.00,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Audit Committee,3.,KITTICHAI RAKTAKANIT,N/A,6 / 6,100.00,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Audit Committee,4.,WEERANANT CHUENSUWAN,N/A,6 / 6,100.00,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Executive Committee,1.,SRETTHA THAVISIN,N/A,N/A,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Executive Committee,2.,WANCHAK BURANASIRI,N/A,N/A,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Executive Committee,3.,UTHAI UTHAISANGSUK,N/A,N/A,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Executive Committee,4.,Thalin   Aeimtitiwat,N/A,N/A,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Executive Committee,5.,Nopporn  Boonthanom,N/A,N/A,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Executive Committee,6.,Suwannee  Mahanarongchai,N/A,N/A,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Executive Committee,7.,Poomipak  Julmanichoti,N/A,N/A,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Executive Committee,8.,Wichan  Wiriyaphusit,N/A,N/A,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,1.,JESADAVAT PRIEBJRIVAT,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,2.,PORNTAT AMATAVIVADHANA,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,3.,KITTICHAI RAKTAKANIT,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,4.,VICHAYA CHATIKAVANIJ,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,JESADAVAT PRIEBJRIVAT,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Risk Management Committee,2.,SUPANIT CHAIYAWAT,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Risk Management Committee,3.,KITTICHAI RAKTAKANIT,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Risk Management Committee,4.,WANCHAK BURANASIRI,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Risk Management Committee,5.,UTHAI UTHAISANGSUK,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,KITTICHAI RAKTAKANIT,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,PORNTAT AMATAVIVADHANA,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,WEERANANT CHUENSUWAN,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,UTHAI UTHAISANGSUK,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Investment Committee,1.,APICHART CHUTRAKUL,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Investment Committee,2.,SRETTHA THAVISIN,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Investment Committee,3.,WANCHAK BURANASIRI,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Investment Committee,4.,UTHAI UTHAISANGSUK,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Investment Committee,5.,SUPAKORN VEJJAJIVA,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Investment Committee,6.,Samatcha  Promsiri,N/A,0 / 0,N/A,,
SIRI,2022,10,6,29/04/2022,No,Meeting Attendance of Investment Committee,7.,Wichan  Wiriyaphusit,N/A,0 / 0,N/A,,
SIRI,2023,14,7,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,APICHART CHUTRAKUL,N/A,14 / 14,100.00,Yes,
SIRI,2023,14,7,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,JESADAVAT PRIEBJRIVAT,N/A,13 / 14,92.86,Yes,
SIRI,2023,14,7,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,WANCHAK BURANASIRI,N/A,14 / 14,100.00,Yes,
SIRI,2023,14,7,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,PORNTAT AMATAVIVADHANA,N/A,14 / 14,100.00,Yes,
SIRI,2023,14,7,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,THONGCHAI JIRA-ALONGKORN,N/A,14 / 14,100.00,Yes,
