Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SISB,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SISB,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SISB,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of the Board of Directors,1.,NONTIGORN KANCHANACHITRA,N/A,6 / 6,100.00,Yes,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of the Board of Directors,2.,WILAWAN KAEWKANOKVIJIT,N/A,6 / 6,100.00,Yes,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of the Board of Directors,3.,TRITHIP SIVAKRISKUL,N/A,5 / 6,83.33,Yes,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of the Board of Directors,4.,CHATRAPEE TANTIXALERM,N/A,6 / 6,100.00,Yes,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of the Board of Directors,5.,MEECHAI PRASERTSRI,N/A,6 / 6,100.00,Yes,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of the Board of Directors,6.,PRASITCHAI KRITSANAYUNYONG,N/A,6 / 6,100.00,Yes,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of the Board of Directors,7.,YEW HOCK KOH,N/A,5 / 6,83.33,Yes,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Audit Committee,1.,CHATRAPEE TANTIXALERM,N/A,5 / 5,100.00,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Audit Committee,2.,TRITHIP SIVAKRISKUL,N/A,4 / 5,80.00,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Audit Committee,3.,PRASITCHAI KRITSANAYUNYONG,N/A,5 / 5,100.00,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Nomination and Remuneration,1.,NONTIGORN KANCHANACHITRA,N/A,0 / 0,N/A,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Nomination and Remuneration,2.,CHATRAPEE TANTIXALERM,N/A,0 / 0,N/A,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Nomination and Remuneration,3.,TRITHIP SIVAKRISKUL,N/A,0 / 0,N/A,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Nomination and Remuneration,4.,YEW HOCK KOH,N/A,0 / 0,N/A,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Nomination and Remuneration,5.,NONTIGORN KANCHANACHITRA,N/A,0 / 0,N/A,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Nomination and Remuneration,6.,CHATRAPEE TANTIXALERM,N/A,0 / 0,N/A,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Nomination and Remuneration,7.,TRITHIP SIVAKRISKUL,N/A,0 / 0,N/A,,
SISB,2022,6,N/A,12/04/2023,No,Meeting Attendance of Nomination and Remuneration,8.,YEW HOCK KOH,N/A,0 / 0,N/A,,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,NONTIGORN KANCHANACHITRA,N/A,9 / 9,100.00,Yes,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,WILAWAN KAEWKANOKVIJIT,N/A,9 / 9,100.00,Yes,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,TRITHIP SIVAKRISKUL,N/A,8 / 9,88.89,Yes,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,CHATRAPEE TANTIXALERM,N/A,9 / 9,100.00,Yes,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,MEECHAI PRASERTSRI,N/A,9 / 9,100.00,Yes,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,PRASITCHAI KRITSANAYUNYONG,N/A,9 / 9,100.00,Yes,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,YEW HOCK KOH,N/A,9 / 9,100.00,Yes,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,CHATRAPEE TANTIXALERM,N/A,4 / 4,100.00,,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,TRITHIP SIVAKRISKUL,N/A,4 / 4,100.00,,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,PRASITCHAI KRITSANAYUNYONG,N/A,4 / 4,100.00,,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration,1.,NONTIGORN KANCHANACHITRA,N/A,0 / 0,N/A,,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration,2.,CHATRAPEE TANTIXALERM,N/A,0 / 0,N/A,,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration,3.,TRITHIP SIVAKRISKUL,N/A,0 / 0,N/A,,
SISB,2023,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration,4.,YEW HOCK KOH,N/A,0 / 0,N/A,,
SISB,2024,8,4,11/04/2024,No,Meeting Attendance of the Board of Directors,1.,NONTIGORN KANCHANACHITRA,N/A,8 / 8,100.00,1 / 1,
SISB,2024,8,4,11/04/2024,No,Meeting Attendance of the Board of Directors,2.,WILAWAN KAEWKANOKVIJIT,N/A,8 / 8,100.00,1 / 1,
SISB,2024,8,4,11/04/2024,No,Meeting Attendance of the Board of Directors,3.,MEECHAI PRASERTSRI,N/A,8 / 8,100.00,1 / 1,
SISB,2024,8,4,11/04/2024,No,Meeting Attendance of the Board of Directors,4.,TRITHIP SIVAKRISKUL,N/A,8 / 8,100.00,1 / 1,
