Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SKY,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SKY,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SKY,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SKY,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SKY,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SKY,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,SOMKIT LERTPAITHOON,N/A,13 / 13,100.00,Yes,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,KULNADA ORANRAKTHAM,N/A,13 / 13,100.00,Yes,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,SITHIDEJ MAYALARP,N/A,13 / 13,100.00,Yes,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,VIPOOTA TRAKULHOON,N/A,13 / 13,100.00,Yes,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,SARUT VANICHPUN,N/A,13 / 13,100.00,Yes,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,SOMCHAI POOLSAVASDI,N/A,12 / 13,92.31,No,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,THITISAK SKULKROO,N/A,13 / 13,100.00,Yes,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of the Board of Directors,8.,RAJ TANTA-NANTA,N/A,13 / 13,100.00,Yes,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of Audit Committee,1.,VIPOOTA TRAKULHOON,N/A,6 / 6,100.00,,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of Audit Committee,2.,SARUT VANICHPUN,N/A,6 / 6,100.00,,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of Audit Committee,3.,THITISAK SKULKROO,N/A,6 / 6,100.00,,
SKY,2023,13,6,21/04/2023,No,Meeting Attendance of Executive Committee,1.,SITHIDEJ MAYALARP,N/A,N/A,N/A,,
