Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SK,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SK,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SK,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,BUNDIT CHEEVADHANARAK,N/A,6 / 7,85.71,Yes,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,JIN TANGNUKULKIT,N/A,7 / 7,100.00,Yes,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,PHAIBOON KITTIVORAPAT,N/A,7 / 7,100.00,Yes,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,PARKORN TANGNUKULKIJ,N/A,7 / 7,100.00,Yes,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,THAWATCHAI SRISURAYOTIN,N/A,7 / 7,100.00,Yes,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUDKHET KULSARAPUSIT,N/A,7 / 7,100.00,Yes,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,Anat  Pinrat,N/A,3 / 7,42.86,Yes,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,KOVIT HANHIRUN,27/04/2022,N/A,N/A,N/A,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Audit Committee,1.,BUNDIT CHEEVADHANARAK,N/A,4 / 5,80.00,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Audit Committee,2.,THAWATCHAI SRISURAYOTIN,N/A,5 / 5,100.00,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Audit Committee,3.,SUDKHET KULSARAPUSIT,N/A,5 / 5,100.00,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Executive Committee,1.,JIN TANGNUKULKIT,N/A,N/A,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Executive Committee,2.,Anat  Pinrat,N/A,N/A,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Executive Committee,3.,PARKORN TANGNUKULKIJ,N/A,N/A,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Executive Committee,4.,KOVIT HANHIRUN,N/A,N/A,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SUDKHET KULSARAPUSIT,N/A,0 / 0,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,THAWATCHAI SRISURAYOTIN,N/A,0 / 0,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JIN TANGNUKULKIT,N/A,0 / 0,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,PARKORN TANGNUKULKIJ,N/A,0 / 0,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,Nophadol Tangkananusorn,N/A,0 / 0,N/A,,
SK,2022,7,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Suwit Suriyapattanapong,N/A,0 / 0,N/A,,
