Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SMIT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SMIT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SMIT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHAISILP TAMESIRICHAI,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,PICHAI NITHIVASIN,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,PRASONG SRITHORNRATKUL,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,THANA SENAVATTANAGUL,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,PORNSIN THAEMSIRICHAI,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,KRIANGKRAI BOONKITTICHAROEN,N/A,2 / 4,50.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,PHUT SORAYARNTHANAWUT,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHARNDEJ TAMESIRICHAI,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,PIYANUCH TAMESIRICHAI,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,PIYAPORN SRITHORNRATKUL,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,PRANGTIP SIVARUK,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,12.,CHAYAKORN LIMSIRIPAN,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,13.,KARUN KITTISATAPORN,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,14.,VAPIROM MANASRANGSI,N/A,4 / 4,100.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,15.,Prayoon	 Vivetpuvanonth,N/A,3 / 4,75.00,Yes,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of Audit Committee,1.,VAPIROM MANASRANGSI,N/A,4 / 4,100.00,,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of Audit Committee,2.,Prayoon	 Vivetpuvanonth,N/A,3 / 4,75.00,,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of Audit Committee,3.,KARUN KITTISATAPORN,N/A,4 / 4,100.00,,
SMIT,2022,4,4,28/04/2022,No,Meeting Attendance of Audit Committee,4.,CHAYAKORN LIMSIRIPAN,N/A,4 / 4,100.00,,
