Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SNNP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SNNP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SNNP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,NIWAT KANJANAPHOOMIN,N/A,6 / 6,100.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,THAKORN CHAISATHAPORN,N/A,5 / 6,83.33,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,VIWAT KRAIPISITKUL,N/A,6 / 6,100.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,THANYANEE KRAIPISITKUL,N/A,6 / 6,100.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,WICHIAN CHAISATHAPORN,N/A,6 / 6,100.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,YONGYOOT LUANGRATTANAMART,N/A,6 / 6,100.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,VIRA JUNGJAROENSUK,N/A,6 / 6,100.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,JIRASUK SUGANDHAJATI,N/A,6 / 6,100.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,KITTIYA CHAISATHAPORN,N/A,2 / 2,100.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,PIYAWAT KRAIPISITKUL,18/07/2022,3 / 4,75.00,Yes,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,YONGYOOT LUANGRATTANAMART,N/A,4 / 4,100.00,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,VIRA JUNGJAROENSUK,N/A,4 / 4,100.00,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,JIRASUK SUGANDHAJATI,N/A,4 / 4,100.00,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,1.,VIWAT KRAIPISITKUL,N/A,N/A,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,2.,THANYANEE KRAIPISITKUL,N/A,N/A,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,3.,THAKORN CHAISATHAPORN,N/A,N/A,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,4.,WICHIAN CHAISATHAPORN,N/A,N/A,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,5.,Chayut Leehacharoenkul,N/A,N/A,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,6.,Monchai Pongstabadee,N/A,N/A,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,7.,KITTIYA CHAISATHAPORN,N/A,N/A,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,8.,Wiroj Wachiradechkul,N/A,N/A,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,1.,JIRASUK SUGANDHAJATI,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,2.,Monchai Pongstabadee,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,3.,WICHIAN CHAISATHAPORN,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Supachoke Bumrungpun,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Wiroj Wachiradechkul,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Nomination & Remuneration Committee,1.,THAKORN CHAISATHAPORN,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Nomination & Remuneration Committee,2.,VIRA JUNGJAROENSUK,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Nomination & Remuneration Committee,3.,THANYANEE KRAIPISITKUL,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Commitee,1.,YONGYOOT LUANGRATTANAMART,N/A,0 / 0,N/A,,
SNNP,2022,6,4,22/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Commitee,2.,THAKORN CHAISATHAPORN,N/A,0 / 0,N/A,,
