Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SONIC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SONIC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SONIC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,SANTISUK KOSIARPANANT,N/A,4 / 4,100.00,Yes,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,KALYAPORN PAN-MA-RERNG,N/A,4 / 4,100.00,Yes,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,KANAWATH ARAN,N/A,4 / 4,100.00,Yes,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,RANUT LIEOLERTSAKULCHAI,N/A,4 / 4,100.00,Yes,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,VUTTICHAI SURIYAVORAWONG,N/A,4 / 4,100.00,Yes,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,RATTAWAT SUKSAICHOL,N/A,4 / 4,100.00,Yes,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,PANUWAT PRATHUMSRI,N/A,4 / 4,100.00,Yes,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,WANCHAI RATTANAWONG,11/05/2023,N/A,N/A,N/A,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,4 / 4,100.00,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,RATTAWAT SUKSAICHOL,N/A,4 / 4,100.00,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,KANAWATH ARAN,11/11/2022,N/A,N/A,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Executive Committee,1.,SANTISUK KOSIARPANANT,N/A,N/A,N/A,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Executive Committee,2.,RANUT LIEOLERTSAKULCHAI,N/A,N/A,N/A,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Executive Committee,3.,VUTTICHAI SURIYAVORAWONG,N/A,N/A,N/A,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,0 / 0,N/A,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KANAWATH ARAN,N/A,0 / 0,N/A,,
SONIC,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SANTISUK KOSIARPANANT,N/A,0 / 0,N/A,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,WANCHAI RATTANAWONG,N/A,4 / 4,100.00,Yes,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,KALYAPORN PAN-MA-RERNG,N/A,4 / 4,100.00,Yes,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,KANAWATH ARAN,N/A,4 / 4,100.00,Yes,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,RATTAWAT SUKSAICHOL,N/A,4 / 4,100.00,Yes,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,SANTISUK KOSIARPANANT,N/A,4 / 4,100.00,Yes,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,RANUT LIEOLERTSAKULCHAI,N/A,4 / 4,100.00,Yes,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,VUTTICHAI SURIYAVORAWONG,N/A,4 / 4,100.00,Yes,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,PANUWAT PRATHUMSRI,N/A,4 / 4,100.00,Yes,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,4 / 4,100.00,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,KANAWATH ARAN,N/A,4 / 4,100.00,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,RATTAWAT SUKSAICHOL,N/A,4 / 4,100.00,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Executive Committee,1.,SANTISUK KOSIARPANANT,N/A,N/A,N/A,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Executive Committee,2.,RANUT LIEOLERTSAKULCHAI,N/A,N/A,N/A,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Executive Committee,3.,VUTTICHAI SURIYAVORAWONG,N/A,N/A,N/A,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,KALYAPORN PAN-MA-RERNG,N/A,0 / 0,N/A,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SANTISUK KOSIARPANANT,N/A,0 / 0,N/A,,
SONIC,2023,4,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,KANAWATH ARAN,N/A,0 / 0,N/A,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,1.,SUPHOT MALANIYOM,N/A,4 / 4,100.00,1 / 1,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,2.,SANTISUK KOSIARPANANT,N/A,5 / 5,100.00,1 / 1,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,3.,RANUT LIEOLERTSAKULCHAI,N/A,5 / 5,100.00,1 / 1,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,4.,VUTTICHAI SURIYAVORAWONG,N/A,5 / 5,100.00,1 / 1,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,5.,RATTAWAT SUKSAICHOL,N/A,5 / 5,100.00,1 / 1,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,6.,PANUWAT PRATHUMSRI,N/A,5 / 5,100.00,1 / 1,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,7.,YUTTANA TAEPANGTHONG,N/A,4 / 4,100.00,1 / 1,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,8.,PRANAI KUNGWALRUT,N/A,3 / 3,100.00,0 / 0,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,9.,WANCHAI RATTANAWONG,22/02/2024,1 / 1,100.00,0 / 0,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,10.,KALYAPORN PAN-MA-RERNG,22/02/2024,1 / 1,100.00,0 / 0,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of the Board of Directors,11.,KANAWATH ARAN,10/05/2024,1 / 1,100.00,1 / 1,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Audit Committee,1.,YUTTANA TAEPANGTHONG,N/A,3 / 3,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Audit Committee,2.,RATTAWAT SUKSAICHOL,N/A,4 / 4,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Audit Committee,3.,PRANAI KUNGWALRUT,N/A,2 / 2,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Audit Committee,4.,KALYAPORN PAN-MA-RERNG,22/02/2024,1 / 1,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Audit Committee,5.,KANAWATH ARAN,10/05/2024,1 / 1,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Executive Committee,1.,SANTISUK KOSIARPANANT,N/A,12 / 12,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Executive Committee,2.,RANUT LIEOLERTSAKULCHAI,N/A,12 / 12,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Executive Committee,3.,VUTTICHAI SURIYAVORAWONG,N/A,12 / 12,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SANTISUK KOSIARPANANT,N/A,3 / 3,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,YUTTANA TAEPANGTHONG,N/A,1 / 1,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SUPHOT MALANIYOM,N/A,2 / 2,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,4.,KALYAPORN PAN-MA-RERNG,N/A,1 / 1,100.00,,
SONIC,2024,5,4,26/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,5.,KANAWATH ARAN,N/A,1 / 1,100.00,,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SUPHOT MALANIYOM,N/A,4 / 4,100.00,1 / 1,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,SANTISUK KOSIARPANANT,N/A,4 / 4,100.00,1 / 1,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,RANUT LIEOLERTSAKULCHAI,N/A,4 / 4,100.00,1 / 1,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,VUTTICHAI SURIYAVORAWONG,N/A,4 / 4,100.00,1 / 1,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,RATTAWAT SUKSAICHOL,N/A,4 / 4,100.00,1 / 1,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,PANUWAT PRATHUMSRI,N/A,4 / 4,100.00,1 / 1,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,YUTTANA TAEPANGTHONG,N/A,4 / 4,100.00,1 / 1,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,PRANAI KUNGWALRUT,N/A,4 / 4,100.00,1 / 1,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,YUTTANA TAEPANGTHONG,N/A,4 / 4,100.00,,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,RATTAWAT SUKSAICHOL,N/A,4 / 4,100.00,,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,PRANAI KUNGWALRUT,N/A,4 / 4,100.00,,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,SANTISUK KOSIARPANANT,N/A,12 / 12,100.00,,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,RANUT LIEOLERTSAKULCHAI,N/A,12 / 12,100.00,,
SONIC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,VUTTICHAI SURIYAVORAWONG,N/A,12 / 12,100.00,,
