Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SPA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SPA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SPA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRANEE SUPHAWATANAKIAT,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,WIBOON UTSAHAJIT,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,PRASERT JIRAVANSTIT,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,THANIT AMORNTIRASAN,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,NARUN WIWATTANAKRAI,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,POLCHET LIKITTANASOMBAT,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,PENSIRI CHAKRABANDHU,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,KOBBOON SRICHAI,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,PHUMIPHAN BUNJAPAMAI,N/A,5 / 5,100.00,Yes,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,POLCHET LIKITTANASOMBAT,N/A,4 / 4,100.00,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,PENSIRI CHAKRABANDHU,N/A,4 / 4,100.00,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,KOBBOON SRICHAI,N/A,4 / 4,100.00,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,1.,WIBOON UTSAHAJIT,N/A,N/A,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,2.,PRASERT JIRAVANSTIT,N/A,N/A,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,3.,THANIT AMORNTIRASAN,N/A,N/A,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,4.,NARUN WIWATTANAKRAI,N/A,N/A,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,5.,Juckpat Jiravanstit,N/A,N/A,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,1.,POLCHET LIKITTANASOMBAT,N/A,0 / 0,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,2.,PRASERT JIRAVANSTIT,N/A,0 / 0,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,3.,PENSIRI CHAKRABANDHU,N/A,0 / 0,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,PENSIRI CHAKRABANDHU,N/A,0 / 0,N/A,,
SPA,2022,5,4,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,THANIT AMORNTIRASAN,N/A,0 / 0,N/A,,
