Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SPCG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SPCG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SPCG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,WANDEE KHUNCHORNYAKONG,N/A,6 / 6,100.00,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,SOMSAK KHUNCHORNYAKONG,N/A,6 / 6,100.00,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,WITHOON MANONAIKUL,N/A,6 / 6,100.00,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,WANCHAI LAWATTANATRAKUL,N/A,6 / 6,100.00,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,ART-ONG JUMSAI NA AYUDHYA,N/A,6 / 6,100.00,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,APICHAT LIMSETHANUWAT,N/A,6 / 6,100.00,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,NARINPORN MALASRI,N/A,6 / 6,100.00,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,SHOJI NISHIZAWA,N/A,4 / 6,66.67,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,ALISA KHUNCHORNYAKONG,N/A,4 / 6,66.67,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,10.,JIRAKOM PADUMANON,20/04/2022,2 / 6,33.33,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,11.,WANCHAI WISUTTINAN,20/04/2022,2 / 6,33.33,Yes,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,WANCHAI LAWATTANATRAKUL,N/A,4 / 4,100.00,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,ART-ONG JUMSAI NA AYUDHYA,N/A,4 / 4,100.00,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,APICHAT LIMSETHANUWAT,N/A,4 / 4,100.00,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,1.,WANCHAI LAWATTANATRAKUL,N/A,0 / 0,N/A,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,2.,WANDEE KHUNCHORNYAKONG,N/A,0 / 0,N/A,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,3.,SOMSAK KHUNCHORNYAKONG,N/A,0 / 0,N/A,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,4.,ART-ONG JUMSAI NA AYUDHYA,N/A,0 / 0,N/A,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,5.,APICHAT LIMSETHANUWAT,N/A,0 / 0,N/A,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,WANCHAI LAWATTANATRAKUL,N/A,0 / 0,N/A,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,ART-ONG JUMSAI NA AYUDHYA,N/A,0 / 0,N/A,,
SPCG,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,APICHAT LIMSETHANUWAT,N/A,0 / 0,N/A,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,1.,WANDEE KHUNCHORNYAKONG,N/A,4 / 4,100.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,2.,SOMSAK KHUNCHORNYAKONG,N/A,4 / 4,100.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,3.,WITHOON MANONAIKUL,N/A,4 / 4,100.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,4.,WANCHAI LAWATTANATRAKUL,N/A,3 / 4,75.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,5.,ART-ONG JUMSAI NA AYUDHYA,N/A,3 / 4,75.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,6.,APICHAT LIMSETHANUWAT,N/A,4 / 4,100.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,7.,NARINPORN MALASRI,N/A,4 / 4,100.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,8.,SHOJI NISHIZAWA,N/A,4 / 4,100.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,9.,ALISA KHUNCHORNYAKONG,N/A,4 / 4,100.00,Yes,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,1.,WANCHAI LAWATTANATRAKUL,N/A,3 / 4,75.00,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,2.,ART-ONG JUMSAI NA AYUDHYA,N/A,3 / 4,75.00,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,3.,APICHAT LIMSETHANUWAT,N/A,4 / 4,100.00,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,1.,WANCHAI LAWATTANATRAKUL,N/A,0 / 0,N/A,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,2.,WANDEE KHUNCHORNYAKONG,N/A,0 / 0,N/A,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,3.,SOMSAK KHUNCHORNYAKONG,N/A,0 / 0,N/A,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,4.,ART-ONG JUMSAI NA AYUDHYA,N/A,0 / 0,N/A,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,5.,APICHAT LIMSETHANUWAT,N/A,0 / 0,N/A,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,1.,WANCHAI LAWATTANATRAKUL,N/A,0 / 0,N/A,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,2.,ART-ONG JUMSAI NA AYUDHYA,N/A,0 / 0,N/A,,
SPCG,2023,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,3.,APICHAT LIMSETHANUWAT,N/A,0 / 0,N/A,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,1.,WANDEE KHUNCHORNYAKONG,N/A,4 / 4,100.00,1 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,2.,SOMSAK KHUNCHORNYAKONG,N/A,4 / 4,100.00,1 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,3.,WITHOON MANOMAIKUL,N/A,4 / 4,100.00,0 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,4.,WANCHAI LAWATTANATRAKUL,N/A,4 / 4,100.00,1 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,5.,ART-ONG JUMSAI NA AYUDHYA,N/A,4 / 4,100.00,1 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,6.,APICHAT LIMSETHANUWAT,N/A,4 / 4,100.00,1 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,7.,NARINPORN MALASRI,N/A,4 / 4,100.00,1 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,8.,SHOJI NISHIZAWA,N/A,4 / 4,100.00,1 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,9.,ALISA KHUNCHORNYAKONG,N/A,4 / 4,100.00,1 / 1,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,1.,WANCHAI LAWATTANATRAKUL,N/A,4 / 4,100.00,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,2.,ART-ONG JUMSAI NA AYUDHYA,N/A,4 / 4,100.00,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Audit Committee,3.,APICHAT LIMSETHANUWAT,N/A,4 / 4,100.00,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,1.,WANCHAI LAWATTANATRAKUL,N/A,1 / 1,100.00,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,2.,WANDEE KHUNCHORNYAKONG,N/A,1 / 1,100.00,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,3.,SOMSAK KHUNCHORNYAKONG,N/A,1 / 1,100.00,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,4.,ART-ONG JUMSAI NA AYUDHYA,N/A,1 / 1,100.00,,
SPCG,2024,4,4,19/04/2023,No,Meeting Attendance of Nomination and Remuneration and Corporate Governance  Committee,5.,APICHAT LIMSETHANUWAT,N/A,1 / 1,100.00,,
SPCG,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
SPCG,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
SPCG,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
SPCG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
SPCG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
SPCG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
