Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SPC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SPC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SPC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,BOONCHAI CHOKWATANA,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,BOONSITHI CHOKWATANA,N/A,11 / 12,91.67,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,BOONYARITH MAHAMONTRI,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,BOONPAKORN CHOKVATHANA,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,KHACHORNSAKDI VANARATSEATH,N/A,11 / 12,91.67,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,WASIN TEYATEETI,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,VATHIT CHOKWATANA,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,PASOOK RAKSAWONKSE,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,PETCH PANIANGVAIT,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,10.,SIRILAK DHANASARNSILP,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,11.,CHAILADA TANTIVEJAKUL,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,12.,VICHAI CHAROENWONGSE,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,13.,THAMARAT CHOKWATANA,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,14.,VICHIT TANTIANUNANONT,N/A,12 / 12,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,15.,SIRIPOL YODMUANGCHAROEN,N/A,0 / 0,N/A,No,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,16.,PANURAT MEEPIEN,15/12/2022,11 / 11,100.00,Yes,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,1.,KHACHORNSAKDI VANARATSEATH,N/A,5 / 5,100.00,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,2.,WASIN TEYATEETI,N/A,5 / 5,100.00,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,3.,VICHIT TANTIANUNANONT,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,4.,PANURAT MEEPIEN,15/12/2022,4 / 4,100.00,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,1.,BOONCHAI CHOKWATANA,N/A,N/A,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,2.,VATHIT CHOKWATANA,N/A,N/A,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,3.,PASOOK RAKSAWONKSE,N/A,N/A,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,4.,CHAILADA TANTIVEJAKUL,N/A,N/A,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,5.,PETCH PANIANGVAIT,N/A,N/A,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,6.,Parinya Sithidamrong,12/05/2022,N/A,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,1.,KHACHORNSAKDI VANARATSEATH,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,2.,VICHIT TANTIANUNANONT,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,BOONCHAI CHOKWATANA,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,VATHIT CHOKWATANA,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHAILADA TANTIVEJAKUL,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Risk Management Committee,1.,CHAILADA TANTIVEJAKUL,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,PASOOK RAKSAWONKSE,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Board,1.,BOONCHAI CHOKWATANA,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Board,2.,PASOOK RAKSAWONKSE,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Board,3.,VATHIT CHOKWATANA,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Board,4.,CHAILADA TANTIVEJAKUL,N/A,0 / 0,N/A,,
SPC,2022,12,N/A,25/04/2022,No,Meeting Attendance of Executive Board,5.,PETCH PANIANGVAIT,N/A,0 / 0,N/A,,
SPC,2023,12,5,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,BOONCHAI CHOKWATANA,N/A,12 / 12,100.00,Yes,
SPC,2023,12,5,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,BOONSITHI CHOKWATANA,N/A,12 / 12,100.00,Yes,
SPC,2023,12,5,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,Abhisit Vejjajiva,N/A,0 / 0,N/A,No,
SPC,2023,12,5,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,BOONYARITH MAHAMONTRI,N/A,9 / 12,75.00,Yes,
SPC,2023,12,5,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,KHACHORNSAKDI VANARATSEATH,N/A,12 / 12,100.00,Yes,
