Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SPTX,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SPTX,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SPTX,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,BAAKBUN BOONLERT,N/A,8 / 8,100.00,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,KUSOL SANGKANANTA,N/A,7 / 8,87.50,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,PINIT WUTHIPAND,N/A,8 / 8,100.00,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,CHARTCHAI RODBOONPHA,N/A,8 / 8,100.00,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,KOSOL PHOSUWAN,N/A,7 / 8,87.50,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PIPAT CHANASONGKRAM,N/A,8 / 8,100.00,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,KRITSADA PRUITIPAT,N/A,8 / 8,100.00,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,PAVALIN LIMTHONGCHAI,N/A,8 / 8,100.00,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,CHIRAYU CHUEYAM,N/A,5 / 8,62.50,No,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,VARAPORN SUPRUCKSASKUL,31/07/2022,4 / 8,50.00,Yes,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Audit Committee,1.,KOSOL PHOSUWAN,N/A,6 / 6,100.00,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Audit Committee,2.,CHARTCHAI RODBOONPHA,N/A,6 / 6,100.00,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Audit Committee,3.,PINIT WUTHIPAND,N/A,6 / 6,100.00,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,CHARTCHAI RODBOONPHA,N/A,0 / 0,N/A,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,KUSOL SANGKANANTA,N/A,0 / 0,N/A,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,PIPAT CHANASONGKRAM,N/A,0 / 0,N/A,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,1.,KUSOL SANGKANANTA,N/A,0 / 0,N/A,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,2.,PIPAT CHANASONGKRAM,N/A,0 / 0,N/A,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,3.,KRITSADA PRUITIPAT,N/A,0 / 0,N/A,,
SPTX,2022,8,6,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,4.,Suvicha Kaewfacharoen,N/A,0 / 0,N/A,,
