Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SRS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SRS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SRS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SRS,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SRS,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SRS,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of the Board of Directors,1.,VISIT SATITJINDAVONG,N/A,5 / 5,100.00,No,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of the Board of Directors,2.,SIRIWAT THANURAWET,N/A,5 / 5,100.00,Yes,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of the Board of Directors,3.,NATTAPON TANATECHAWONG,N/A,5 / 5,100.00,Yes,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of the Board of Directors,4.,SITTHIKARD AUSCHAVARA-NONDHA,N/A,5 / 5,100.00,Yes,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of the Board of Directors,5.,SIRIWAT KEATCHAROENSIN,N/A,5 / 5,100.00,No,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of the Board of Directors,6.,CHOLACHART WORAWUTHICHONGSATHIT,N/A,5 / 5,100.00,No,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of the Board of Directors,7.,THANASUNUN SUNTAYODOM,N/A,5 / 5,100.00,No,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Audit Committee,1.,CHOLACHART WORAWUTHICHONGSATHIT,N/A,5 / 5,100.00,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Audit Committee,2.,VISIT SATITJINDAVONG,N/A,5 / 5,100.00,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Audit Committee,3.,THANASUNUN SUNTAYODOM,N/A,5 / 5,100.00,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Executive Committee,1.,SIRIWAT THANURAWET,N/A,N/A,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Executive Committee,2.,NATTAPON TANATECHAWONG,N/A,N/A,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Executive Committee,3.,Suthasinee  Charoennam,N/A,N/A,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Executive Committee,4.,Supaporn Jearapraditkul,N/A,N/A,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Executive Committee,5.,SITTHIKARD AUSCHAVARA-NONDHA,01/03/2024,N/A,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Risk Management Committee,1.,VISIT SATITJINDAVONG,N/A,0 / 0,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Risk Management Committee,2.,SIRIWAT THANURAWET,N/A,0 / 0,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Risk Management Committee,3.,SITTHIKARD AUSCHAVARA-NONDHA,N/A,0 / 0,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SIRIWAT KEATCHAROENSIN,N/A,0 / 0,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,VISIT SATITJINDAVONG,N/A,0 / 0,N/A,,
SRS,2023,5,5,17/03/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHOLACHART WORAWUTHICHONGSATHIT,N/A,0 / 0,N/A,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,1.,VISIT SATITJINDAVONG,N/A,4 / 4,100.00,1 / 1,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,2.,SIRIWAT THANURAWET,N/A,4 / 4,100.00,1 / 1,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,3.,NATTAPON TANATECHAWONG,N/A,4 / 4,100.00,1 / 1,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,4.,CHOLACHART WORAWUTHICHONGSATHIT,N/A,4 / 4,100.00,1 / 1,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,5.,SIRIWAT KEATCHAROENSIN,N/A,4 / 4,100.00,1 / 1,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,6.,SUPAPORN JEARAPRADITKUL,N/A,3 / 3,100.00,1 / 1,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,7.,THANAKORN WANGPIPATWONG,N/A,0 / 0,N/A,0 / 0,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,8.,SITTHIKARD AUSCHAVARA-NONDHA,01/03/2024,1 / 1,100.00,0 / 0,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,9.,THANASUNUN SUNTAYODOM,08/11/2024,4 / 4,100.00,1 / 1,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Audit Committee,1.,CHOLACHART WORAWUTHICHONGSATHIT,N/A,4 / 4,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Audit Committee,2.,VISIT SATITJINDAVONG,N/A,4 / 4,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Audit Committee,3.,THANAKORN WANGPIPATWONG,N/A,0 / 0,N/A,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Audit Committee,4.,THANASUNUN SUNTAYODOM,08/11/2024,4 / 4,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Executive Committee,1.,SIRIWAT THANURAWET,N/A,13 / 13,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Executive Committee,2.,NATTAPON TANATECHAWONG,N/A,12 / 13,92.31,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Executive Committee,3.,Suthasinee  Charoennam,N/A,13 / 13,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Executive Committee,4.,SUPAPORN JEARAPRADITKUL,N/A,11 / 11,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Executive Committee,5.,SITTHIKARD AUSCHAVARA-NONDHA,01/03/2024,2 / 2,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Risk Management Committee,1.,VISIT SATITJINDAVONG,N/A,2 / 2,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Risk Management Committee,2.,SIRIWAT THANURAWET,N/A,2 / 2,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Risk Management Committee,3.,Bordin Ngamrungsiri,N/A,2 / 2,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SIRIWAT KEATCHAROENSIN,N/A,3 / 3,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,VISIT SATITJINDAVONG,N/A,3 / 3,100.00,,
SRS,2024,4,4,23/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHOLACHART WORAWUTHICHONGSATHIT,N/A,3 / 3,100.00,,
SRS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,VISIT SATITJINDAVONG,N/A,5 / 5,100.00,1 / 1,
