Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SSSC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SSSC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SSSC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,WANCHAI KUNANANTAKUL,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,SURASAK KUNANANTAKUL,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,PONGSAK ANGSUPUN,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,SURAPOL KUNANANTAKUL,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,SITTICHAI KUNANANTAKUL,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,NAPHAPORN HOONTHANASEVEE,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,VICHIT VUTHISOMBUT,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,SUCHARIT KOONTANAKULVONG,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,DAMRI SUKHOTANANG,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,10.,JUN MURASE,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,11.,HIROYUKI INOGUCHI,N/A,4 / 4,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,12.,TAKU YAMADA,25/04/2022,N/A,N/A,N/A,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,13.,SHIGEJI ANRAKU,01/10/2022,2 / 2,100.00,Yes,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,PONGSAK ANGSUPUN,N/A,4 / 4,100.00,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,VICHIT VUTHISOMBUT,N/A,4 / 4,100.00,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,SUCHARIT KOONTANAKULVONG,N/A,4 / 4,100.00,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,4.,DAMRI SUKHOTANANG,N/A,4 / 4,100.00,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,1.,SURASAK KUNANANTAKUL,N/A,N/A,N/A,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,2.,HIROYUKI INOGUCHI,N/A,N/A,N/A,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,3.,SURAPOL KUNANANTAKUL,N/A,N/A,N/A,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,4.,TAKU YAMADA,N/A,N/A,N/A,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,5.,SHIGEJI ANRAKU,01/10/2022,N/A,N/A,,
SSSC,2022,4,4,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SUCHARIT KOONTANAKULVONG,N/A,0 / 0,N/A,,
