Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
STI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
STI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
STI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,JUMPOL SUMPAOPOL,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,PAIRUCH LAOPRASERT,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMKIAT SILAWATANAWONG,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,KHUMPOL POONSONEE,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,WORAWAT SRISA-AN,N/A,4 / 5,80.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,KITTISAK SUPHAKAWAT,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,BUNDIT MUANGSORNKEAW,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOMCHIT PEUMPREMSUK,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,ISSARIN SUWATANO,N/A,4 / 5,80.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHAWALUCK SIVAYATHORN,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,11.,SARAYUT NATHAPHAN,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,12.,SUPARANAN TANVIRUCH,N/A,5 / 5,100.00,N/A,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,SARAYUT NATHAPHAN,N/A,4 / 4,100.00,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,CHAWALUCK SIVAYATHORN,N/A,4 / 4,100.00,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,SUPARANAN TANVIRUCH,N/A,4 / 4,100.00,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,1.,PAIRUCH LAOPRASERT,N/A,N/A,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,2.,SOMKIAT SILAWATANAWONG,N/A,N/A,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,3.,SOMCHIT PEUMPREMSUK,N/A,N/A,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,4.,ISSARIN SUWATANO,N/A,N/A,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,5.,KITTISAK SUPHAKAWAT,N/A,N/A,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,6.,WORAWAT SRISA-AN,N/A,N/A,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,7.,BUNDIT MUANGSORNKEAW,N/A,N/A,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,8.,KHUMPOL POONSONEE,N/A,N/A,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,SARAYUT NATHAPHAN,N/A,0 / 0,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,CHAWALUCK SIVAYATHORN,N/A,0 / 0,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,SUPARANAN TANVIRUCH,N/A,0 / 0,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Nomination  and Remuneration Committee,1.,JUMPOL SUMPAOPOL,N/A,0 / 0,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Nomination  and Remuneration Committee,2.,SARAYUT NATHAPHAN,N/A,0 / 0,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Nomination  and Remuneration Committee,3.,SOMKIAT SILAWATANAWONG,N/A,0 / 0,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Nomination  and Remuneration Committee,4.,WORAWAT SRISA-AN,N/A,0 / 0,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SOMCHIT PEUMPREMSUK,N/A,0 / 0,N/A,,
STI,2022,5,4,29/04/2022,No,Meeting Attendance of Risk Management Committee,2.,KITTISAK SUPHAKAWAT,N/A,0 / 0,N/A,,
