Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
STP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
STP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
STP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,1.,SOMCHART BARAMICHAI,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,2.,SURASAK ROJWONGCHARAS,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,3.,AMORNRAT ROTWONGCHARAS,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,4.,SURANAI ROJWONGCHARAS,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,5.,NISACHOL CHAIYAWAT,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,6.,PRASONG ROJWONGJARAS,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,7.,PRASERT ROJWONGJARAS,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,8.,THANADECH MAHAPOKAI,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of the Board of Directors,9.,SAWONG DHANGWATNOTAI,N/A,8 / 8,100.00,Yes,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of Audit Committee,1.,THANADECH MAHAPOKAI,N/A,5 / 5,100.00,,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of Audit Committee,2.,SOMCHART BARAMICHAI,N/A,5 / 5,100.00,,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of Audit Committee,3.,SAWONG DHANGWATNOTAI,N/A,5 / 5,100.00,,
STP,2022,8,5,31/03/2022,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,1.,SAWONG DHANGWATNOTAI,N/A,5 / 6,83.33,Yes,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,2.,THANADECH MAHAPOKAI,N/A,6 / 6,100.00,Yes,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,3.,SOMCHART BARAMICHAI,N/A,5 / 6,83.33,No,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,4.,SURASAK ROJWONGCHARAS,N/A,6 / 6,100.00,Yes,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,5.,AMORNRAT ROTWONGCHARAS,N/A,6 / 6,100.00,Yes,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,6.,SURANAI ROJWONGCHARAS,N/A,6 / 6,100.00,Yes,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,7.,NISACHOL CHAIYAWAT,N/A,6 / 6,100.00,Yes,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,8.,PRASONG ROJWONGJARAS,N/A,6 / 6,100.00,Yes,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,9.,HARUETHAI ROJWONGCHARAS,N/A,1 / 1,100.00,No,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of the Board of Directors,10.,PRASERT ROJWONGJARAS,09/11/2023,4 / 5,80.00,Yes,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Audit Committee,1.,THANADECH MAHAPOKAI,N/A,5 / 5,100.00,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Audit Committee,2.,SOMCHART BARAMICHAI,N/A,5 / 5,100.00,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Audit Committee,3.,SAWONG DHANGWATNOTAI,N/A,4 / 5,80.00,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Executive Committee,1.,NISACHOL CHAIYAWAT,N/A,N/A,N/A,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Executive Committee,2.,PRASONG ROJWONGJARAS,N/A,N/A,N/A,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Executive Committee,3.,PRASERT ROJWONGJARAS,N/A,N/A,N/A,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Executive Committee,4.,Surachai Tarawatanatham,N/A,N/A,N/A,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Executive Committee,5.,SURANAI ROJWONGCHARAS,N/A,N/A,N/A,,
STP,2023,6,5,25/04/2023,No,Meeting Attendance of Executive Committee,6.,HARUETHAI ROJWONGCHARAS,N/A,N/A,N/A,,
STP,2024,6,4,09/04/2024,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
STP,2024,6,4,09/04/2024,No,Meeting Attendance of Audit Committee,,No Information,,,,,
STP,2024,6,4,09/04/2024,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
STP,2024,6,4,09/04/2024,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
STP,2024,6,4,09/04/2024,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
STP,2024,6,4,09/04/2024,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
STP,2024,6,4,09/04/2024,No,Meeting Attendance of Executive Committee,5.,N/A,N/A,N/A,N/A,,
STP,2024,6,4,09/04/2024,No,Meeting Attendance of Executive Committee,6.,N/A,N/A,N/A,N/A,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SAWONG DHANGWATNOTAI,N/A,6 / 6,100.00,1 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,THANADECH MAHAPOKAI,N/A,6 / 6,100.00,1 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,SOMCHART BARAMICHAI,N/A,6 / 6,100.00,0 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,SURASAK ROJWONGCHARAS,N/A,6 / 6,100.00,1 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,AMORNRAT ROTWONGJARAT,N/A,5 / 6,83.33,1 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,SURANAI ROJWONGCHARAS,N/A,6 / 6,100.00,1 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,NISACHOL CHAIYAWAT,N/A,6 / 6,100.00,1 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,PRASONG ROJWONGJARAS,N/A,6 / 6,100.00,1 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,HARUETHAI ROJWONGCHARAS,N/A,6 / 6,100.00,1 / 1,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,THANADECH MAHAPOKAI,N/A,4 / 4,100.00,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,SOMCHART BARAMICHAI,N/A,4 / 4,100.00,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,SAWONG DHANGWATNOTAI,N/A,4 / 4,100.00,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,SURANAI ROJWONGCHARAS,N/A,13 / 13,100.00,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,NISACHOL CHAIYAWAT,N/A,13 / 13,100.00,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,PRASONG ROJWONGJARAS,N/A,13 / 13,100.00,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,PRASERT ROJWONGJARAS,N/A,13 / 13,100.00,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,HARUETHAI ROJWONGCHARAS,N/A,13 / 13,100.00,,
STP,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,6.,Surachai Tarawatanatham,N/A,13 / 13,100.00,,
STP,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
STP,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
STP,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
