Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SUC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SUC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SUC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,DALAD SAPTHAVICHAIKUL,N/A,12 / 12,100.00,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHUTINDHON DARAKANANDA,N/A,12 / 12,100.00,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,BOVORNRAT DARAKANANDA,N/A,9 / 12,75.00,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,VACHARAPHONG DARAKANANDA,N/A,10 / 12,83.33,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,NANTHIYA DARAKANANDA,N/A,8 / 12,66.67,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,YANYONG TUNGCHITKUL,N/A,11 / 12,91.67,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,PINIJPORN DARAKANANDA KASEMSAP,N/A,12 / 12,100.00,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHANTORNTREE DARAKANANDA,N/A,12 / 12,100.00,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,PREECHA SHUNHAVANICH,N/A,12 / 12,100.00,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,10.,SUPAKIT PAUNGBUA,N/A,11 / 12,91.67,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,11.,ANON SIRISAENGTAKSIN,N/A,8 / 12,66.67,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,12.,PITTAWAT PRERTTITUMRONG,N/A,12 / 12,100.00,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,13.,NITHIPHAN DARAKANANDA,N/A,10 / 12,83.33,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,14.,CHAI JANGSIRIKUL,N/A,12 / 12,100.00,Yes,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,15.,PRINYA SAINAMTHIP,N/A,12 / 12,100.00,N/A,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of the Board of Directors,16.,SUTTIMA JAMNARNWEJ,01/01/2022,0 / 0,N/A,N/A,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,CHAI JANGSIRIKUL,N/A,4 / 4,100.00,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,ANON SIRISAENGTAKSIN,N/A,4 / 4,100.00,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,PRINYA SAINAMTHIP,N/A,4 / 4,100.00,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of Audit Committee,4.,SUTTIMA JAMNARNWEJ,01/01/2022,0 / 0,N/A,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,YANYONG TUNGCHITKUL,N/A,0 / 0,N/A,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,CHUTINDHON DARAKANANDA,N/A,0 / 0,N/A,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,ANON SIRISAENGTAKSIN,N/A,0 / 0,N/A,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,1.,CHANTORNTREE DARAKANANDA,N/A,0 / 0,N/A,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,2.,VACHARAPHONG DARAKANANDA,N/A,0 / 0,N/A,,
SUC,2022,12,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,3.,PREECHA SHUNHAVANICH,N/A,0 / 0,N/A,,
