Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SUN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SUN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SUN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,KRAIRIT BOONYAKIAT,N/A,6 / 6,100.00,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,MORAKOT KITTIKHUNCHAI,N/A,6 / 6,100.00,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,PICHAI KOJAMITR,N/A,6 / 6,100.00,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,ONGART KITTIKHUNCHAI,N/A,6 / 6,100.00,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,JIRAPORN KITTIKHUNCHAI,N/A,6 / 6,100.00,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,SURAPORN PRASATNGAMLOET,N/A,6 / 6,100.00,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,WARAPONG NANDABHIWAT,N/A,6 / 6,100.00,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHAIYOT SUNTIVONG,N/A,6 / 6,100.00,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,UDOMRAT AKKARACHINORES,N/A,5 / 6,83.33,No,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of the Board of Directors,10.,ANUCHA DUMRONGMANEE,20/04/2022,1 / 6,16.67,Yes,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,PICHAI KOJAMITR,N/A,4 / 4,100.00,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,WARAPONG NANDABHIWAT,N/A,4 / 4,100.00,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,UDOMRAT AKKARACHINORES,N/A,3 / 4,75.00,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Audit Committee,4.,ANUCHA DUMRONGMANEE,20/04/2022,1 / 4,25.00,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Executive Committee,1.,ONGART KITTIKHUNCHAI,N/A,N/A,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Executive Committee,2.,MORAKOT KITTIKHUNCHAI,N/A,N/A,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Executive Committee,3.,JIRAPORN KITTIKHUNCHAI,N/A,N/A,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Executive Committee,4.,SURAPORN PRASATNGAMLOET,N/A,N/A,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Executive Committee,5.,Sanit Sresuwan,N/A,N/A,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Executive Committee,6.,Kovit Sitthiyos,N/A,N/A,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Executive Committee,7.,vira Nopwattanakorn,N/A,N/A,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,WARAPONG NANDABHIWAT,N/A,0 / 0,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PICHAI KOJAMITR,N/A,0 / 0,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ONGART KITTIKHUNCHAI,N/A,0 / 0,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Risk Management Committee,1.,CHAIYOT SUNTIVONG,N/A,0 / 0,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Risk Management Committee,2.,PICHAI KOJAMITR,N/A,0 / 0,N/A,,
SUN,2022,6,4,20/04/2022,No,Meeting Attendance of Risk Management Committee,3.,JIRAPORN KITTIKHUNCHAI,N/A,0 / 0,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,KRAIRIT BOONYAKIAT,N/A,4 / 6,66.67,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,MORAKOT KITTIKHUNCHAI,N/A,6 / 6,100.00,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,PICHAI KOJAMITR,N/A,6 / 6,100.00,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,ONGART KITTIKHUNCHAI,N/A,6 / 6,100.00,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,JIRAPORN KITTIKHUNCHAI,N/A,6 / 6,100.00,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,SURAPORN PRASATNGAMLOET,N/A,6 / 6,100.00,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,WARAPONG NANDABHIWAT,N/A,6 / 6,100.00,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,CHAIYOT SUNTIVONG,N/A,6 / 6,100.00,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,9.,UDOMRAT AKKARACHINORES,N/A,6 / 6,100.00,Yes,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Audit Committee,1.,PICHAI KOJAMITR,N/A,5 / 5,100.00,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Audit Committee,2.,WARAPONG NANDABHIWAT,N/A,5 / 5,100.00,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Audit Committee,3.,UDOMRAT AKKARACHINORES,N/A,5 / 5,100.00,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,1.,ONGART KITTIKHUNCHAI,N/A,N/A,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,2.,MORAKOT KITTIKHUNCHAI,N/A,N/A,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,3.,JIRAPORN KITTIKHUNCHAI,N/A,N/A,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,4.,SURAPORN PRASATNGAMLOET,N/A,N/A,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,5.,Sanit Sresuwan,N/A,N/A,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,6.,WICHAI LAOCHAROENPORNKUL,N/A,N/A,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,7.,Kovit Sitthiyos,01/11/2023,N/A,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,8.,vira Nopwattanakorn,31/12/2023,N/A,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management  Committee,1.,CHAIYOT SUNTIVONG,N/A,0 / 0,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management  Committee,2.,PICHAI KOJAMITR,N/A,0 / 0,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management  Committee,3.,JIRAPORN KITTIKHUNCHAI,N/A,0 / 0,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,WARAPONG NANDABHIWAT,N/A,0 / 0,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PICHAI KOJAMITR,N/A,0 / 0,N/A,,
SUN,2023,6,5,20/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ONGART KITTIKHUNCHAI,N/A,0 / 0,N/A,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,1.,KRAIRIT BOONYAKIAT,N/A,8 / 8,100.00,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,2.,PICHAI KOJAMITR,N/A,8 / 8,100.00,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,3.,WARAPONG NANDABHIWAT,N/A,8 / 8,100.00,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,4.,CHAIYOT SUNTIVONG,N/A,8 / 8,100.00,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,5.,Ongart Kittikhunchai,N/A,8 / 8,100.00,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,6.,JIRAPORN KITTIKHUNCHAI,N/A,8 / 8,100.00,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,7.,MORAKOT KITTIKHUNCHAI,N/A,8 / 8,100.00,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,8.,SURAPORN PRASATNGAMLOET,N/A,5 / 8,62.50,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of the Board of Directors,9.,UDOMRAT AKKARACHINORES,N/A,7 / 8,87.50,1 / 1,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Audit Committee,1.,PICHAI KOJAMITR,N/A,4 / 4,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Audit Committee,2.,WARAPONG NANDABHIWAT,N/A,4 / 4,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Audit Committee,3.,UDOMRAT AKKARACHINORES,N/A,4 / 4,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Executive Committee,1.,Ongart Kittikhunchai,N/A,13 / 13,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Executive Committee,2.,MORAKOT KITTIKHUNCHAI,N/A,13 / 13,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Executive Committee,3.,JIRAPORN KITTIKHUNCHAI,N/A,13 / 13,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Executive Committee,4.,SURAPORN PRASATNGAMLOET,N/A,10 / 13,76.92,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Executive Committee,5.,Sanit Sresuwan,N/A,13 / 13,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Executive Committee,6.,Vira Nopwattanakorn,N/A,9 / 9,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Executive Committee,7.,Wichai  Laocharoenpornkul,09/05/2024,4 / 4,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Risk Management and Sustainability Committee,1.,CHAIYOT SUNTIVONG,N/A,4 / 4,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Risk Management and Sustainability Committee,2.,PICHAI KOJAMITR,N/A,4 / 4,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Risk Management and Sustainability Committee,3.,JIRAPORN KITTIKHUNCHAI,N/A,4 / 4,100.00,,
SUN,2024,8,4,22/04/2024,No,Meeting Attendance of Risk Management and Sustainability Committee,4.,UDOMRAT AKKARACHINORES,N/A,4 / 4,100.00,,
SUN,2024,8,4,22/04/2024,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",1.,WARAPONG NANDABHIWAT,N/A,2 / 2,100.00,,
SUN,2024,8,4,22/04/2024,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",2.,PICHAI KOJAMITR,N/A,2 / 2,100.00,,
SUN,2024,8,4,22/04/2024,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",3.,Ongart Kittikhunchai,N/A,2 / 2,100.00,,
SUN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,KRAIRIT BOONYAKIAT,N/A,6 / 6,100.00,1 / 1,
SUN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,MORAKOT KITTIKHUNCHAI,N/A,6 / 6,100.00,1 / 1,
SUN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,PICHAI KOJAMITR,N/A,6 / 6,100.00,1 / 1,
